Original: cols|new , predicted 1st: add|new|new|new
Original: service|init|new , predicted 1st: create|new|new|new
Original: set|pattern|new , predicted 1st: set|pattern|new|new|new
Original: add|primary|filter|to|key|new , predicted 1st: add|new|new|new
Original: max|bytes|to|consume|new , predicted 1st: get|max|line|new|new
Original: set|task|status|new , predicted 1st: set|status|status|new|new
Original: get|localizer|id|new , predicted 1st: get|id|new|new|new
Original: iterator|new , predicted 1st: get|iterator|new|new
Original: get|blacklisted|trackers|new , predicted 1st: get|task|info|new|new
Original: add|lease|new , predicted 1st: add|new|new|new
Original: compute|user|limit|new , predicted 1st: add|user|new|new
Original: get|computons|per|reduce|output|byte|new , predicted 1st: get|output|output|stream|new
Original: get|failed|mapper|fraction|new , predicted 1st: get|failed|mapper|new|new
Original: get|test|path|new , predicted 1st: get|path|new|new|new
Original: seek|to|last|new , predicted 1st: test|new|new|new
Original: get|absolute|maximum|capacity|new , predicted 1st: get|max|max|size|new
Original: set|unknown|attribute|new , predicted 1st: set|attribute|attribute|new|new
Original: remove|resource|new , predicted 1st: remove|resource|new|new|new
Original: build|local|resource|proto|new , predicted 1st: get|resource|new|new|new
Original: convert|from|proto|format|new , predicted 1st: create|local|resource|new|new
Original: set|pattern|new , predicted 1st: set|pattern|new|new
Original: maybe|init|builder|new , predicted 1st: new|builder|new|new|new
Original: get|entity|types|new , predicted 1st: get|entity|types|new|new
Original: set|job|properties|new , predicted 1st: set|job|properties|new|new
Original: get|cluster|reduce|mb|new , predicted 1st: get|mb|cluster|new|new
Original: get|i|nodes|under|construction|new , predicted 1st: get|new|new|new
Original: create|password|new , predicted 1st: create|password|new|new|new
Original: get|failed|map|attempt|cd|fs|new , predicted 1st: get|failed|failure|new|new
Original: format|new , predicted 1st: get|event|new|new
Original: set|task|id|new , predicted 1st: set|task|id|new|new
Original: get|jobtype|new , predicted 1st: get|new|new|new
Original: poll|first|new , predicted 1st: get|first|new|new|new
Original: merge|local|to|builder|new , predicted 1st: add|resources|new|new|new
Original: service|stop|new , predicted 1st: stop|new|new|new
Original: adjust|contract|to|local|environment|new , predicted 1st: set|new|new|new
Original: get|output|bytes|new , predicted 1st: get|output|bytes|new|new
Original: set|lease|period|new , predicted 1st: set|limit|new|new
Original: reset|new , predicted 1st: set|max|new|new|new
Original: get|node|locality|delay|new , predicted 1st: get|delay|new|new
Original: read|proc|mem|info|file|new , predicted 1st: read|read|new|new
Original: set|empty|time|new , predicted 1st: set|time|new|new
Original: make|class|loader|new , predicted 1st: get|class|loader|new|new
Original: run , predicted 1st: create|class|loader
Original: create|entity|event|key|new , predicted 1st: add|new|new
Original: to|array|new , predicted 1st: to|array|new|new
Original: read|proc|mem|info|file|new , predicted 1st: read|file|info|new|new
Original: set|spilled|records|new , predicted 1st: set|new|new|new
Original: shrink|if|necessary|new , predicted 1st: run|new|new|new
Original: insert|range|new , predicted 1st: update|new|new|new
Original: adjust|times|new , predicted 1st: start|new|new|new
Original: check|leases|new , predicted 1st: get|sync|new|new
Original: count|path|new , predicted 1st: get|new|new
Original: intern|soft|new , predicted 1st: get|type|new|new|new
Original: evict|entries|new , predicted 1st: test|new|new|new
Original: get|resource|new , predicted 1st: get|resource|new|new|new
Original: get|file|statuses|new , predicted 1st: execute|new|new|new
Original: to|array|new , predicted 1st: get|new|new
Original: attach|container|new , predicted 1st: add|jms|new|new
Original: is|renewer|expired|new , predicted 1st: is|period|new|new|new
Original: is|last|block|complete|new , predicted 1st: is|complete|block|new|new
Original: convert|to|proto|format|new , predicted 1st: get|new|new|new
Original: get|sleep|period|new , predicted 1st: get|period|period|new|new
Original: get|queues|new , predicted 1st: get|queue|info|new|new
Original: canonicalize|counter|name|new , predicted 1st: replace|string|new|new|new
Original: set|mapper|tries|to|succeed|new , predicted 1st: set|to|mapper|mapper|new
Original: get|proto|new , predicted 1st: to|merge|new|new|new
Original: assign|reserved|container|new , predicted 1st: create|new|new
Original: set|failed|map|attempt|cd|fs|new , predicted 1st: set|failed|failure|new|new
Original: get|task|status|new , predicted 1st: get|status|status|new|new
Original: read|line|new , predicted 1st: read|new|new|new
Original: main|new , predicted 1st: main|new|new|new
Original: compare|new , predicted 1st: set|path|new|new|new
Original: unsync|set|grace|sleep|period|new , predicted 1st: set|period|new|new|new
Original: write|new , predicted 1st: write|external|new|new|new
Original: get|local|path|for|write|new , predicted 1st: get|for|write|new|new
Original: remove|lease|new , predicted 1st: remove|new|new|new
Original: get|all|local|paths|to|read|new , predicted 1st: get|all|to|paths|new
Original: get|daemon|name|new , predicted 1st: get|name|new|new|new
Original: line|types|new , predicted 1st: get|type|new|new
Original: get|task|type|new , predicted 1st: get|task|type|new|new
Original: set|conf|new , predicted 1st: set|default|ldap|url|new
Original: is|compressed|input|new , predicted 1st: is|new|new|new
Original: is|context|valid|new , predicted 1st: is|context|context|new|new
Original: add|next|value|new , predicted 1st: set|max|new|new|new
Original: kill|job|new , predicted 1st: set|new|new|new
Original: set|jobtype|new , predicted 1st: set|new|new|new
Original: get|task|completion|events|new , predicted 1st: get|max|events|completion|new|new
Original: get|file|bytes|written|new , predicted 1st: get|file|bytes|new|new
Original: maybe|init|builder|new , predicted 1st: foo|new|new|new
Original: set|visibility|new , predicted 1st: set|visibility|new|new|new
Original: set|map|input|records|new , predicted 1st: set|input|map|new|new
Original: expand|if|necessary|new , predicted 1st: expand|new|new|new
Original: get|result|new , predicted 1st: get|result|new|new
Original: get|storage|types|new , predicted 1st: get|storage|types|new|new
Original: iterator|new , predicted 1st: get|iterator|new|new|new
Original: create|new , predicted 1st: get|client|new|new
Original: remove|new , predicted 1st: remove|new|new|new
Original: get|outcome|new , predicted 1st: get|new|new|new
Original: to|big|integer|new , predicted 1st: test|big|integer|new|new
Original: can|assign|new , predicted 1st: is|valid|new|new|new
Original: get|v|mem|kbytes|new , predicted 1st: get|v|new|new
Original: remove|new , predicted 1st: remove|new|new|new
Original: get|exception|new , predicted 1st: get|from|string|new|new
Original: get|num|processors|new , predicted 1st: get|num|time|new|new
Original: main|new , predicted 1st: main|new|new|new
Original: poll|all|new , predicted 1st: clear|new|new|new
Original: set|grace|sleep|period|new , predicted 1st: set|period|period|new|new
Original: get|locations|new , predicted 1st: get|new|new|new
Original: increment|file|count|for|path|new , predicted 1st: add|sub|directories|new|new
Original: is|under|construction|new , predicted 1st: is|new|new|new
Original: load|script|file|new , predicted 1st: get|new|new
Original: maybe|init|builder|new , predicted 1st: new|builder|new|new|new
Original: set|finish|time|new , predicted 1st: set|time|new|new
Original: get|entity|by|time|new , predicted 1st: get
Original: set|relative|ranking|new , predicted 1st: set|relative|new|new
Original: create|yarn|client|new , predicted 1st: create|client|new|new|new
Original: read|proc|stat|file|new , predicted 1st: test|new|new
Original: get|queue|path|new , predicted 1st: get|queue|name|new|new
Original: get|map|tasks|new , predicted 1st: get|tasks|new|new|new
Original: get|maximum|capacity|new , predicted 1st: get|maximum|size|new|new
Original: set|job|id|new , predicted 1st: set|job|id|new|new
Original: deep|compare|new , predicted 1st: test
Original: is|corrupt|new , predicted 1st: is|new|new|new
Original: get|heap|megabytes|new , predicted 1st: get|new|new
Original: get|task|id|new , predicted 1st: get|task|id|new|new
Original: assign|node|local|containers|new , predicted 1st: get|resource|new|new|new
Original: init|new , predicted 1st: run|new|new|new
Original: get|filesystem|name|new , predicted 1st: get|uri|new|new
Original: seek|new , predicted 1st: set|key|new|new|new
Original: render|new , predicted 1st: test|new|new|new
Original: get|counter|name|max|new , predicted 1st: get|max|counter|name|new
Original: get|remote|node|log|dir|suffix|new , predicted 1st: get|remote|remote|remote|remote|new
Original: get|element|new , predicted 1st: get|new|new|new
Original: close|internal|new , predicted 1st: test|get|new|new
Original: get|cluster|map|mb|new , predicted 1st: get|cluster|cluster|cluster|size|new
Original: get|password|new , predicted 1st: get|password|new|new|new
Original: get|local|path|for|write|new , predicted 1st: get|for|write|new|new
Original: service|stop|new , predicted 1st: stop|new|new|new
Original: start|localizer|new , predicted 1st: run|new|new
Original: submit|application|new , predicted 1st: run|new|new|new
Original: handle|new , predicted 1st: handle|container|new|new|new
Original: get|log|dirs|new , predicted 1st: get|dirs|new|new|new
Original: get|group|name|max|new , predicted 1st: get|max|group|name|new
Original: are|disks|healthy|new , predicted 1st: is|dirs|dirs|new|new
Original: init|app|aggregator|new , predicted 1st: run|new|new|new
Original: run , predicted 1st: run
Original: clear|resources|new , predicted 1st: clear|resources|new|new|new
Original: compare|new , predicted 1st: set|new|new|new
Original: put|new , predicted 1st: get|element|new|new|new
Original: cancel|delegation|token|new , predicted 1st: read|token|new|new|new
Original: get|staging|area|dir|new , predicted 1st: get|root|new|new|new
Original: do|updates|new , predicted 1st: set|up|new|new|new
Original: check|groups|new , predicted 1st: set|max|groups|new|new
Original: get|block|size|new , predicted 1st: get|bytes|new|new
Original: get|run|as|user|new , predicted 1st: get|user|new|new
Original: get|total|resource|pending|new , predicted 1st: get|pending|pending|pending|new
Original: finish|application|attempt|new , predicted 1st: on|shutdown|new|new|new
Original: set|owner|new , predicted 1st: get|owner|new|new|new
Original: has|access|new , predicted 1st: is|user|new|new|new
Original: get|path|new , predicted 1st: get|new|new|new
Original: get|log|path|to|read|new , predicted 1st: get|path|new|new|new
Original: get|entities|new , predicted 1st: get|entity|by|entity|id|new
Original: get|user|limit|new , predicted 1st: get|user|limit|new|new
Original: build|localized|resource|proto|new , predicted 1st: get|resource|new|new|new
Original: set|datum|new , predicted 1st: set|new|new|new
Original: handle|new , predicted 1st: handle|event|new|new
Original: init|resources|new , predicted 1st: test|from|format|new|new
Original: set|resource|new , predicted 1st: set|resource|new|new|new
Original: retrieve|new , predicted 1st: get|record|new|new|new
Original: get|spilled|records|new , predicted 1st: get|new|new
Original: increment|prefix|new , predicted 1st: test|new|new|new
Original: get|capacity|new , predicted 1st: get|new|new|new
Original: set|clock|splits|new , predicted 1st: set|new|new|new
Original: adjust|times|new , predicted 1st: on|finished|new|new|new
Original: get|combine|input|records|new , predicted 1st: get|input|input|new|new
Original: update|cluster|resource|new , predicted 1st: create|new|new|new
Original: service|stop|new , predicted 1st: stop|new|new|new
Original: set|combine|input|records|new , predicted 1st: set|input|input|new|new
Original: violation|new , predicted 1st: get|first|new|new|new
Original: dump|all|containers|logs|new , predicted 1st: get|log|log|log|new|new
Original: handle|new , predicted 1st: on|event|changed|new|new
Original: get|cached|locations|new , predicted 1st: get|cached|new|new|new
Original: read|proc|cpu|info|file|new , predicted 1st: read|new|new|new
Original: delete|next|entity|new , predicted 1st: do|create|new|new|new
Original: get|resource|new , predicted 1st: get|url|new|new|new
Original: get|log|path|for|write|new , predicted 1st: get|file|for|write|new
Original: get|counters|max|new , predicted 1st: get|max|max|new|new
Original: try|acquire|new , predicted 1st: is|new|new|new
Original: activate|applications|new , predicted 1st: remove|active|new|new|new
Original: write|new , predicted 1st: write|to|new|new|new
Original: get|all|jobs|new , predicted 1st: get|all|new|new|new
Original: set|v|mem|kbytes|new , predicted 1st: foo|new|new|new
Original: validate|paths|new , predicted 1st: get|paths|paths|new|path
Original: incorporate|counters|new , predicted 1st: set|new|new|new
Original: to|array|new , predicted 1st: get|new|new|new
Original: get|cache|directory|root|new , predicted 1st: get|path|path|new|new
Original: register|node|manager|new , predicted 1st: register|new|new|new
Original: iterator|new , predicted 1st: iterator|new|new|new
Original: has|next , predicted 1st: has|next
Original: next , predicted 1st: next
Original: remove , predicted 1st: run
Original: node|heartbeat|new , predicted 1st: new|instance|new|new|new
Original: get|node|string|new , predicted 1st: get|node|id|new|new
Original: get|job|status|new , predicted 1st: get|status|new|new
Original: close|new , predicted 1st: close|new|new|new
Original: add|sched|priority|command|new , predicted 1st: add|to|string|new|new
Original: print|details|new , predicted 1st: print|new|new|new
Original: set|output|records|new , predicted 1st: set|output|new|new|new
Original: get|instance|new , predicted 1st: create|new|new|new
Original: set|shuffle|finished|new , predicted 1st: set|finished|new|new|new
Original: unreserve|new , predicted 1st: is|valid|new|new|new
Original: copy|map|output|new , predicted 1st: copy|new|new
Original: add|related|entity|new , predicted 1st: add|entity|new|new|new
Original: decrement|file|count|for|path|new , predicted 1st: add|directory|new|new
Original: get|minimum|allocation|factor|new , predicted 1st: get|minimum|factor|new|new
Original: stop|monitor|new , predicted 1st: run|new|new|new
Original: add|all|new , predicted 1st: add|to|add|new|new
Original: set|total|maps|new , predicted 1st: set|total|total|new|new
Original: set|computons|per|reduce|input|byte|new , predicted 1st: set|input|input|input|new
Original: get|test|file|system|new , predicted 1st: get|new|new|new
Original: get|kms|audit|new , predicted 1st: get|audit|new|new
Original: compare|new , predicted 1st: compare|new|new|new
Original: has|next|new , predicted 1st: has|next|new|new|new
Original: new|instance|new , predicted 1st: new|instance|new|new|new
Original: get|application|acls|new , predicted 1st: get|app|new|new|new
Original: get|user|new , predicted 1st: get|user|group|new|new
Original: get|file|bytes|read|new , predicted 1st: get|read|file|bytes|new
Original: main|new , predicted 1st: main|new|new|new
Original: set|job|name|new , predicted 1st: set|job|name|new|new
Original: renew|lease|new , predicted 1st: new|new|new|new
Original: set|map|input|bytes|new , predicted 1st: set|input|input|bytes|new
Original: get|num|pending|applications|new , predicted 1st: get|pending|count|new|new
Original: reset|bookmark|new , predicted 1st: reset|new|new|new
Original: get|other|tasks|new , predicted 1st: get|tasks|new|new|new
Original: handle|new , predicted 1st: on|container|new|new|new
Original: set|attempts|new , predicted 1st: set|new|new|new
Original: get|relative|time|new , predicted 1st: get|relative|time|new|new
Original: convert|to|proto|format|new , predicted 1st: to|string|new|new|new
Original: get|available|virtual|memory|size|new , predicted 1st: get|size|new|new
Original: get|link|target|new , predicted 1st: get|target|new|new|new
Original: set|children|new , predicted 1st: set|children|new|new|new
Original: kill|task|new , predicted 1st: is|not|task|new|new
Original: create|related|entity|key|new , predicted 1st: add|new|new
Original: set|host|name|new , predicted 1st: set|host|name|new|new
Original: register|error|new , predicted 1st: on|failure|new|new|new
Original: run|new , predicted 1st: wait|new|new|new
Original: clear|new , predicted 1st: clear|new|new|new
Original: get|type|new , predicted 1st: get|type|new|new|new
Original: create|new , predicted 1st: get|local|protocol|new|new
Original: compare|new , predicted 1st: compare|new|new|new
Original: get|new , predicted 1st: get|new|new|new
Original: set|timestamp|new , predicted 1st: set|timestamp|new|new|new
Original: get|status|new , predicted 1st: get|from|string|new|new
Original: get|last|non|reserved|feature|new , predicted 1st: get|layout|versions|new|new
Original: read|fields|new , predicted 1st: read|from|new|new|new
Original: set|type|new , predicted 1st: set|type|new|new|new
Original: get|lease|by|path|new , predicted 1st: get|path|new|new|new
Original: incr|counters|new , predicted 1st: test|new|new|new
Original: get|proto|new , predicted 1st: to|new|new|new
Original: assign|containers|new , predicted 1st: run|new
Original: get|localizer|id|new , predicted 1st: get|id|new|new
Original: get|start|time|write|cache|size|new , predicted 1st: get|start|new|new
Original: setup|new , predicted 1st: get|new|new
Original: stop|aggregators|new , predicted 1st: shutdown|new|new|new
Original: set|attempt|id|new , predicted 1st: set|id|new|new|new
Original: get|located|blocks|new , predicted 1st: get|blocks|new|new|new
Original: get|reduce|input|records|new , predicted 1st: get|input|new|new|new
Original: get|container|executor|executable|path|new , predicted 1st: get|default|path|new|new
Original: update|dirs|after|failure|new , predicted 1st: test|new|new
Original: get|root|queues|new , predicted 1st: get|queue|info|new|new
Original: set|successful|map|attempt|cd|fs|new , predicted 1st: set|successful|exception|new|new
Original: compute|capacity|new , predicted 1st: new|new|new|new
Original: get|entity|new , predicted 1st: get|entity|new
Original: convert|to|proto|format|new , predicted 1st: get|local|resource|new|new
Original: all|split|vectors|new , predicted 1st: get|results|new|new|new
Original: initialize|new , predicted 1st: set|configuration|new|new|new
Original: get|successful|map|attempt|cd|fs|new , predicted 1st: get|successful|exception|new|new
Original: activate|options|new , predicted 1st: method|new|new|new
Original: add|all|resources|new , predicted 1st: add|resources|new|new|new
Original: get|lease|new , predicted 1st: get|new|new|new
Original: complete|map|new , predicted 1st: on|task|new|new|new
Original: set|cpu|usages|new , predicted 1st: set|usages|usages|new|new
Original: close|new , predicted 1st: handle|client|new|new|new
Original: get|configuration|input|stream|new , predicted 1st: get|input|input|stream|new
Original: get|clock|splits|new , predicted 1st: get|new|new
Original: get|db|iterator|new , predicted 1st: get|cache|cache|new|new
Original: get|reduce|tasks|new , predicted 1st: get|tasks|new|new|new
Original: get|num|pending|applications|new , predicted 1st: get|user|new|new
Original: print|details|new , predicted 1st: print|new|new|new
Original: convert|from|proto|format|new , predicted 1st: get|resource|resource|type|new
Original: get|string|new , predicted 1st: get|layout|version|new|new
Original: get|active|trackers|new , predicted 1st: get|task|info|new|new
Original: create|start|time|lookup|key|new , predicted 1st: add|new|new|new
Original: get|input|bytes|new , predicted 1st: get|input|bytes|new|new
Original: get|insert|index|new , predicted 1st: get|result|count|new|new
Original: get|owner|new , predicted 1st: get|owner|new|new|new
Original: get|hdfs|bytes|written|new , predicted 1st: get|bytes|new|new
Original: create|container|new , predicted 1st: get|container|new|new|new
Original: run|new , predicted 1st: main|new|new|new
Original: has|prev|new , predicted 1st: has|instance|new|new
Original: get|block|locations|new , predicted 1st: get|locations|new|new|new
Original: get|remote|node|log|file|for|app|new , predicted 1st: create|path|new|new|new
Original: can|emulate|compression|new , predicted 1st: is|show|new|new|new
Original: get|pattern|new , predicted 1st: get|pattern|new|new
Original: set|unknown|attribute|new , predicted 1st: add|attribute|attribute|new|new
Original: set|size|new , predicted 1st: set|size|new|new|new
Original: write|primary|filter|entries|new , predicted 1st: write|to|primary|key|new
Original: set|layers|new , predicted 1st: add|new|new|new
Original: set|minimum|new , predicted 1st: set|minimum|new|new
Original: to|json|new , predicted 1st: write|json|new|new
Original: get|type|new , predicted 1st: get|from|type|new|new
Original: set|task|type|new , predicted 1st: set|task|type|new|new
Original: dec|waiting|reduces|new , predicted 1st: add|task|new|new|new
Original: get|start|time|read|cache|size|new , predicted 1st: get|start|new|new
Original: get|failed|reduce|attempt|cdf|new , predicted 1st: get|failed|new|new
Original: filter|counter|name|new , predicted 1st: get|name|new|new|new
Original: obtain|context|new , predicted 1st: get|context|context|new|new
Original: get|local|path|new , predicted 1st: get|local|path|new|new
Original: get|job|counters|new , predicted 1st: get|current|new|new|new
Original: assign|container|new , predicted 1st: get|resource
Original: supports|new , predicted 1st: is|new|new|new
Original: set|map|tasks|new , predicted 1st: set|tasks|new|new|new
Original: get|delegation|token|new , predicted 1st: get|token|token|new|new
Original: main|new , predicted 1st: main|new|new|new
Original: get|relative|ranking|new , predicted 1st: get|new|new|new
Original: put|new , predicted 1st: add
Original: get|scheme|new , predicted 1st: get|file|name|new|new
Original: get|request|new , predicted 1st: get|new|new|new
Original: dump|a|container|logs|new , predicted 1st: get|new|new|new
Original: get|storage|i|ds|new , predicted 1st: get|storage|storage|new|new
Original: is|running|new , predicted 1st: is|alive|new|new|new
Original: get|key|provider|new , predicted 1st: get|key|key|key|new|new
Original: set|container|id|new , predicted 1st: set|container|id|new|new
Original: set|queue|new , predicted 1st: set|queue|new|new|new
Original: update|recommended|length|new , predicted 1st: get|size|new|new|new
Original: iterator|new , predicted 1st: iterator|new|new|new
Original: get|priority|new , predicted 1st: get|priority|new|new|new
Original: parse|remaining|key|new , predicted 1st: get|new|new|new
Original: get|size|new , predicted 1st: get|size|new|new
Original: call|new , predicted 1st: get|job|new|new|new
Original: run , predicted 1st: get|job|properties
Original: extract|password|new , predicted 1st: read|file|new|new|new
Original: rename|map|output|for|reduce|new , predicted 1st: do|copy|new|new|new
Original: create|app|dir|new , predicted 1st: test|app|dir
Original: run , predicted 1st: check|dir
Original: get|local|dirs|new , predicted 1st: get|dirs|new|new
Original: compare|new , predicted 1st: compare|new|new
Original: set|outcome|new , predicted 1st: set|new|new|new
Original: get|local|task|dir|new , predicted 1st: get|task|task|dir|new|new
Original: get|direct|dependant|jobs|new , predicted 1st: get|new|new
Original: set|output|bytes|new , predicted 1st: set|output|bytes|new|new
Original: create|symlink|new , predicted 1st: create|parent|new|new|new
Original: heartbeat|new , predicted 1st: get|status|new|new|new
Original: get|and|set|start|time|new , predicted 1st: get|entity|time|new|new
Original: set|exception|new , predicted 1st: set|exception|new|new|new
Original: get|reduce|resource|usage|metrics|new , predicted 1st: get|new|new
Original: set|size|new , predicted 1st: set|size|new|new
Original: service|init|new , predicted 1st: set|new|new
Original: run|new , predicted 1st: test|new|new|new
Original: check|dirs|new , predicted 1st: check|new|new|new
Original: get|queue|user|acl|info|new , predicted 1st: get|user|info|new|new
Original: convert|to|proto|format|new , predicted 1st: get|resource|resource|type|new
Original: merge|local|to|builder|new , predicted 1st: add|resources|new|new|new
Original: need|containers|new , predicted 1st: is|valid|new|new|new
Original: get|virtual|memory|size|new , predicted 1st: get|size|new|new
Original: get|raw|new , predicted 1st: get|file|system|file|new
Original: init|resources|new , predicted 1st: test|from|format|new|new
Original: main|new , predicted 1st: main|new|new
Original: get|reduce|input|groups|new , predicted 1st: get|input|groups|new|new
Original: get|host|name|new , predicted 1st: get|host|name|new|new
Original: get|local|fs|new , predicted 1st: get|local|file|new|new
Original: init|new , predicted 1st: set|max|max|group|new
Original: get|resource|new , predicted 1st: get|resource|resource|new|new
Original: init|new , predicted 1st: init|new|new|new
Original: get|index|new , predicted 1st: get|hash|code|code|new
Original: recover|container|new , predicted 1st: handle|container|new|new|new
Original: set|failed|mapper|fraction|new , predicted 1st: set|scheduled|mapper|new|new
Original: get|directory|manager|new , predicted 1st: get|local|cache|manager|manager|new
Original: close|new , predicted 1st: close|new|new|new
Original: complete|reduce|new , predicted 1st: task|tasks|new|new|new
Original: start|monitor|new , predicted 1st: start|new|new|new
Original: convert|from|proto|format|new , predicted 1st: new|new|new|new
Original: fill|buffer|new , predicted 1st: read|new|new|new
Original: stop|app|new , predicted 1st: log|new|new|new
Original: get|system|dir|new , predicted 1st: get|path|new|new|new
Original: read|custom|line|new , predicted 1st: get|bytes|count|new|new
Original: do|archive|new , predicted 1st: copy|new|new|new
Original: skip|utf|byte|order|mark|new , predicted 1st: get|new|new|new
Original: set|size|new , predicted 1st: set|size|new|new|new
Original: poll|n|new , predicted 1st: add|new|new|new
Original: get|resource|new , predicted 1st: get|url|url|new|new
Original: compare|cd|fs|new , predicted 1st: test|new|new|new
Original: renew|lease|new , predicted 1st: add|new|new|new
Original: change|lease|new , predicted 1st: replace|path|new|new|new
Original: is|expired|new , predicted 1st: is|modified|new|new|new
Original: assign|to|user|new , predicted 1st: is|resource|new|new
Original: read|line|new , predicted 1st: read|new|new|new
Original: set|timestamp|new , predicted 1st: set|timestamp|new|new|new
Original: retrieve|password|new , predicted 1st: create|password|new|new|new
Original: add|next|value|new , predicted 1st: set|max|new|new|new
Original: compare|logged|task|attempts|new , predicted 1st: test|new|new|new
Original: check|counters|new , predicted 1st: set|max|max|size|new|new
Original: set|computons|per|map|output|byte|new , predicted 1st: set|output|output|output|new|new
Original: get|url|new , predicted 1st: get|url|new|new|new
Original: set|other|tasks|new , predicted 1st: set|all|new|new|new
Original: get|maximum|active|applications|per|user|new , predicted 1st: get|max|max|max|max|new
Original: get|index|new , predicted 1st: get|hash|hash|code|new
Original: get|num|aggregators|new , predicted 1st: get|log|log|new|new
Original: get|remote|app|log|dir|new , predicted 1st: create|new|new|new
Original: release|new , predicted 1st: set|container|new|new|new
Original: contains|all|new , predicted 1st: has|next|new|new|new
Original: update|map|new , predicted 1st: set|new|new|new
Original: print|help|message|new , predicted 1st: print|help|new|new|new
Original: remove|all|new , predicted 1st: remove|new|new|new
Original: compare|new , predicted 1st: create|new|new|new
Original: decrement|running|and|check|completion|new , predicted 1st: lock|new|new|new
Original: set|status|new , predicted 1st: do|status|new|new|new
Original: compute|capacity|new , predicted 1st: get|max|size|new|new
Original: get|user|limit|factor|new , predicted 1st: get|user|limit|limit|new
Original: get|job|map|mb|new , predicted 1st: get|mb|pool|map|new
Original: to|json|new , predicted 1st: write|new|new|new
Original: deep|compare|new , predicted 1st: compare|new|new|new
Original: get|map|output|bytes|new , predicted 1st: get|output|output|bytes|new
Original: stop|container|new , predicted 1st: start|new|new|new
Original: get|report|new , predicted 1st: get|max|string|new|new
Original: compare|new , predicted 1st: set|path|new|new|new
Original: get|pattern|new , predicted 1st: get|pattern|new|new
Original: to|json|new , predicted 1st: to|json|string|new|new
Original: get|groups|max|new , predicted 1st: get|max|groups|new|new
Original: set|resource|new , predicted 1st: set|resource|new|new|new
Original: poll|all|new , predicted 1st: get|head|new|new|new
Original: service|stop|new , predicted 1st: stop|new|new|new
Original: if|exists|new , predicted 1st: is|exists|new|new|new
Original: recover|resource|new , predicted 1st: get|resource|resource|new|new
Original: compare|to|new , predicted 1st: compare|to|new|new|new
Original: launch|container|new , predicted 1st: get|new|new
Original: run|new , predicted 1st: create|output|new|new
Original: get|progress|new , predicted 1st: get|new|new|new
Original: peek|next|new , predicted 1st: get|new|new|new
Original: write|new , predicted 1st: write|to|new|new|new
Original: get|entity|new , predicted 1st: get|entity
Original: read|default|line|new , predicted 1st: read|bytes|new|new
Original: get|max|applications|per|user|new , predicted 1st: get|max|max|per|max|new
Original: set|timestamp|new , predicted 1st: set|timestamp|new|new|new
Original: incorporate|counters|new , predicted 1st: set|up
Original: set , predicted 1st: read
Original: set , predicted 1st: set|bytes
Original: set , predicted 1st: read|bytes
Original: set , predicted 1st: set|bytes
Original: set , predicted 1st: set|input|bytes
Original: set , predicted 1st: set|input|map
Original: set , predicted 1st: set|output|bytes
Original: set , predicted 1st: set|output|stream
Original: set , predicted 1st: set|input
Original: set , predicted 1st: set|input|groups
Original: set , predicted 1st: set|input
Original: set , predicted 1st: set|bytes
Original: set , predicted 1st: set|output
Original: set , predicted 1st: set
Original: set , predicted 1st: set|usage
Original: set , predicted 1st: set|user
Original: set , predicted 1st: set|usage
Original: set , predicted 1st: set|up
Original: serialize|new , predicted 1st: write|new|new|new
Original: set|url|new , predicted 1st: set|url|new|new
Original: get|layers|new , predicted 1st: get|new|new|new
Original: do|copy|new , predicted 1st: read|new|new|new
Original: create|key|new , predicted 1st: get|long|new|new
Original: ignores|throwable|new , predicted 1st: is|show|new|new|new
Original: get|attempts|new , predicted 1st: get|new|new|new
Original: remove|new , predicted 1st: remove|new|new|new
Original: get|block|token|new , predicted 1st: get|block|block|new|new
Original: set|input|records|new , predicted 1st: set|input|input|new|new
Original: convert|to|proto|format|new , predicted 1st: get|new|new|new
Original: update|log|j|configuration|new , predicted 1st: load|properties|new|new|new
Original: create|identifier|new , predicted 1st: get|token|token|token|new|new
Original: set|rankings|new , predicted 1st: set|new|new|new
Original: set|map|output|bytes|new , predicted 1st: set|output|output|bytes|new
Original: run|new , predicted 1st: build
Original: assign|to|queue|new , predicted 1st: is|resource|new|new|new
Original: get|user|new , predicted 1st: get|user|new|new|new
Original: set|hdfs|bytes|written|new , predicted 1st: set|bytes|new|new|new
Original: get|cpu|frequency|new , predicted 1st: get|cpu|frequency|new|new
Original: get|cpu|usages|new , predicted 1st: get|usages|usages|new|new
Original: get|timestamp|new , predicted 1st: get|timestamp|new|new|new
Original: get|reduce|output|records|new , predicted 1st: get|output|new|new
Original: set|corrupt|new , predicted 1st: set|new|new|new
Original: get|application|new , predicted 1st: get|application|new|new|new
Original: get|new , predicted 1st: get|new|new|new
Original: compute|capacity|new , predicted 1st: get|new
Original: read|fields|new , predicted 1st: read|read|new|new|new
Original: compare|strings|new , predicted 1st: delete|path|new|new|new
Original: write|new , predicted 1st: write|to|new
Original: set|localizer|id|new , predicted 1st: set|id|new|new|new
Original: is|container|process|alive|new , predicted 1st: is|valid|new|new|new
Original: delete|as|user|new , predicted 1st: get|output|new|new|new
Original: set|map|output|records|new , predicted 1st: set|output|output|new|new
Original: add|resources|to|proto|new , predicted 1st: get|resource|resource|new|new
