Original: cols , predicted 1st: add
Original: pre|head , predicted 1st: set
Original: attempts|post|table|init , predicted 1st: get|test
Original: id , predicted 1st: add
Original: height , predicted 1st: add
Original: get|uri|default|port , predicted 1st: get|default|port
Original: class , predicted 1st: add
Original: hreflang , predicted 1st: add
Original: get|task|report|list , predicted 1st: get|task
Original: rows , predicted 1st: add
Original: class , predicted 1st: add
Original: refresh|user|to|groups|mappings , predicted 1st: get|user|mappings
Original: get|store , predicted 1st: get|session|store|store
Original: init|task|reports , predicted 1st: test
Original: class , predicted 1st: add
Original: media , predicted 1st: add|media|attribute
Original: sup , predicted 1st: set|selector
Original: set|application|report , predicted 1st: set|application
Original: br , predicted 1st: set|selector
Original: recursivels , predicted 1st: add|file|status
Original: put|metrics , predicted 1st: set|up
Original: main , predicted 1st: run
Original: get|cdf , predicted 1st: get
Original: lang , predicted 1st: add
Original: shutdown , predicted 1st: stop
Original: get|failover|fs , predicted 1st: do|test
Original: get|protocol|signature , predicted 1st: get|protocol|protocol
Original: hsync , predicted 1st: 
Original: id , predicted 1st: add
Original: compare|to , predicted 1st: compare
Original: mkdirs , predicted 1st: is|allowed
Original: maybe|init|builder , predicted 1st: set|request|request
Original: pull|description , predicted 1st: get|job|job
Original: print|task|summary , predicted 1st: test|get
Original: get|local|name , predicted 1st: get|path
Original: assert|no|threads|matching , predicted 1st: assert|thread
Original: load|listeners , predicted 1st: add|server|listener
Original: new|instance , predicted 1st: get|request|request
Original: accesskey , predicted 1st: add
Original: get|proto , predicted 1st: to
Original: load|token|from|bucket , predicted 1st: load|token
Original: start|cluster , predicted 1st: get|cluster
Original: disconnect , predicted 1st: do|close
Original: load|tokens|from|bucket , predicted 1st: get|token|tokens
Original: test|rename|file|with|x|attr , predicted 1st: test|rename
Original: add|cache|pool , predicted 1st: add|cache
Original: is|valid|requestor , predicted 1st: is|valid
Original: add|local|containers|to|proto , predicted 1st: get|report|container
Original: iterator , predicted 1st: get|report|container
Original: has|next , predicted 1st: has|next
Original: next , predicted 1st: next
Original: remove , predicted 1st: run
Original: id , predicted 1st: add
Original: pull|description , predicted 1st: remove
Original: maybe|init|builder , predicted 1st: set|up
Original: list|status|iterator , predicted 1st: do|in
Original: next , predicted 1st: compute
Original: add|failed|requests|to|proto , predicted 1st: clear|requests
Original: get|test|path , predicted 1st: get|path
Original: convert|to|proto|format , predicted 1st: get|container
Original: set|partition , predicted 1st: set|partition
Original: h , predicted 1st: set|selector
Original: id , predicted 1st: add
Original: main , predicted 1st: main
Original: q , predicted 1st: get
Original: new|instance , predicted 1st: new|response
Original: set|slope , predicted 1st: set
Original: name , predicted 1st: add
Original: delete|file , predicted 1st: delete
Original: initialize|web|app , predicted 1st: test|web|host
Original: onblur , predicted 1st: add
Original: transition|to|active , predicted 1st: handle|state
Original: get|x|attrs , predicted 1st: get|simple|map
Original: rel|path|to|root , predicted 1st: get|path
Original: get|single|task|counters , predicted 1st: get|task|info
Original: nav , predicted 1st: get|sub|class
Original: class , predicted 1st: add
Original: get|metadata , predicted 1st: get|metadata
Original: get|proto , predicted 1st: to
Original: remove|x|attr , predicted 1st: remove
Original: span , predicted 1st: set|selector
Original: bdo , predicted 1st: 
Original: rename , predicted 1st: do|test
Original: build|general|options , predicted 1st: add
Original: prepare|to|enter|state , predicted 1st: on|failed
Original: get|block|locations , predicted 1st: get|locations
Original: h , predicted 1st: set|selector
Original: get|bucket|id , predicted 1st: get|token|number
Original: mkdirs , predicted 1st: do|process
Original: save|state|compat , predicted 1st: save
Original: wait|for|checkpoint , predicted 1st: test
Original: remove|cache|pool , predicted 1st: destroy
Original: create|dir , predicted 1st: set|scope
Original: clear|limits , predicted 1st: delete
Original: get|running|reduces , predicted 1st: get|running
Original: get|user|limit|factor , predicted 1st: get|user|limit
Original: tasks|table|init , predicted 1st: get|type
Original: gen|attribute|method , predicted 1st: add|method
Original: create|symlink , predicted 1st: do|get|response
Original: execute , predicted 1st: run
Original: stop , predicted 1st: get|state
Original: set|test|commands , predicted 1st: set|test
Original: get|partitioner|class , predicted 1st: get|class
Original: add|resource , predicted 1st: add|resource
Original: seek|to|new|source , predicted 1st: is|valid
Original: get|resolved|qualified|path , predicted 1st: create|path
Original: handle|failed|container , predicted 1st: remove|id
Original: write , predicted 1st: write|to
Original: get|assigned|container|mgr|address , predicted 1st: get|port
Original: get|by|id , predicted 1st: get
Original: path|for|cgroup , predicted 1st: get|group|name
Original: get|info , predicted 1st: get|info
Original: set|archive|timestamps , predicted 1st: set
Original: is|available , predicted 1st: is|native|native
Original: invoke , predicted 1st: get|client
Original: compare|to , predicted 1st: compare
Original: update|pipeline , predicted 1st: test|new|new|nodes
Original: dec|count , predicted 1st: test|ref
Original: get|reserved|containers , predicted 1st: get|reserved
Original: load|resources , predicted 1st: load|resource
Original: get|proxy , predicted 1st: get|protocol
Original: create|key , predicted 1st: get
Original: get|signature , predicted 1st: get|c
Original: add|resource , predicted 1st: add|resource
Original: get|checksum , predicted 1st: get|checksum
Original: publish|compressed|data|statistics , predicted 1st: get
Original: construct|job|report , predicted 1st: init
Original: set|double , predicted 1st: set|double
Original: ensure|inflated , predicted 1st: read
Original: get|conf|string , predicted 1st: get|string|string
Original: get|ints , predicted 1st: get|int|strings
Original: get|resource|calculator , predicted 1st: get|resource
Original: renew|delegation|token , predicted 1st: get|time
Original: get|active|task|trackers , predicted 1st: get|active
Original: refresh|namenodes , predicted 1st: refresh
Original: get|reserved|reduce|slots , predicted 1st: get|reserved|count
Original: get|enable|user|metrics , predicted 1st: is|enable|user
Original: get|name , predicted 1st: get|name|name
Original: get|report , predicted 1st: get|report
Original: open|log|file|for|read , predicted 1st: read
Original: get|task|trackers , predicted 1st: get|active|num
Original: compute|shares , predicted 1st: process
Original: check|access , predicted 1st: is|job
Original: send|container|launch|failed|msg , predicted 1st: task|failure
Original: get|container|log|dir , predicted 1st: get|log|dir
Original: get|x|attrs , predicted 1st: convert
Original: write , predicted 1st: write
Original: get|map|input|compression|emulation|ratio , predicted 1st: get|input|compression|compression
Original: write , predicted 1st: write
Original: call , predicted 1st: get|connection
Original: get|random|seed , predicted 1st: get|random
Original: delete , predicted 1st: do|delete
Original: send|mtf|values , predicted 1st: new|get
Original: get|test|commands , predicted 1st: get|test
Original: get|property|sources , predicted 1st: get|name
Original: set|closed , predicted 1st: read|channel|closed
Original: get|loaded|job|cache , predicted 1st: get|cache|job|cache
Original: get|stats , predicted 1st: get|stats
Original: convert|to|proto|format , predicted 1st: get|application
Original: add|cache|directive , predicted 1st: get|cache
Original: get|rm|context , predicted 1st: get|context
Original: get|requested|resources , predicted 1st: get
Original: get|container|exit|status , predicted 1st: get|exit|status
Original: get|resource , predicted 1st: get|resource
Original: get|default , predicted 1st: get|default|value
Original: compress , predicted 1st: write
Original: close , predicted 1st: close
Original: process|cache|report|impl , predicted 1st: add|cached
Original: set|replication , predicted 1st: is|valid
Original: get|diagnostics , predicted 1st: get|error|info
Original: process|raw|arguments , predicted 1st: main|arguments
Original: finalize|upgrade , predicted 1st: do|upgrade
Original: tear|down|all , predicted 1st: close|all
Original: get|final|state , predicted 1st: get|state
Original: set|max|relative|expiry|ms , predicted 1st: set|max
Original: start|monitor|thread , predicted 1st: set|up
Original: get|double , predicted 1st: get|double
Original: report|checksum|failure , predicted 1st: is|available
Original: get|input|format|class , predicted 1st: get|input|class|class
Original: set|int , predicted 1st: set|value
Original: get|cache|archives , predicted 1st: get|cache
Original: send|mtf|values , predicted 1st: get
Original: clone|and|get|container|status , predicted 1st: get|status
Original: get|log|url , predicted 1st: get|log|url
Original: get|final|parameters , predicted 1st: get|parameters
Original: get|task|reports , predicted 1st: get|task
Original: hb|make|code|lengths , predicted 1st: new|x
Original: get|endpoints|links , predicted 1st: get|links|links
Original: create|status , predicted 1st: do|create
Original: get|cluster|metrics , predicted 1st: new|response
Original: get|cache|files , predicted 1st: get|cache|files
Original: get|queue|user|acl|info , predicted 1st: get|user|info
Original: delete , predicted 1st: delete
Original: get|interface , predicted 1st: get|protocol
Original: get|bind|address , predicted 1st: get|client|client
Original: get|check|period , predicted 1st: get|period
Original: list|cache|pools , predicted 1st: get|cache|entries
Original: get|reserved|map|slots , predicted 1st: get|relation|map
Original: get|queue|prefix , predicted 1st: get|queue|name
Original: remove|acl|entries , predicted 1st: remove|entries
Original: set|home|dir|conf , predicted 1st: set|base|name
Original: get|all|partial|jobs , predicted 1st: get|all|all|all
Original: get|status , predicted 1st: get|status
Original: write , predicted 1st: write
Original: get|preferred|block|size , predicted 1st: get|get|size|size
Original: fsync , predicted 1st: do|get
Original: get|next , predicted 1st: get|next
Original: expire , predicted 1st: handle|container|container|container|container
Original: get|not|running|job , predicted 1st: get|running|running
Original: get|proto , predicted 1st: get
Original: list|active|trackers , predicted 1st: test
Original: get|map|amount , predicted 1st: get
Original: get|black|listed|task|tracker|count , predicted 1st: get|num|num
Original: get|all|nodes , predicted 1st: get|nodes
Original: render , predicted 1st: run
Original: parse|ttl|string , predicted 1st: get|max|ttl
Original: has|warned|deprecation , predicted 1st: is|valid
Original: add|resource , predicted 1st: add|resource
Original: clear , predicted 1st: reset
Original: get|jobs , predicted 1st: get|job|job
Original: set|conf , predicted 1st: set|secure
Original: init|block , predicted 1st: get|state
Original: init , predicted 1st: test|put
Original: get|depth , predicted 1st: get|depth
Original: should|preserve , predicted 1st: is|attribute
Original: close , predicted 1st: close
Original: get|home|dir|value , predicted 1st: get|default|default|data|name
Original: add|files|cached , predicted 1st: set|files
Original: renew|lease , predicted 1st: run
Original: update|reported|byte|count , predicted 1st: set|bytes|count
Original: change|state|to|process|a|block , predicted 1st: set|state
Original: get|max|capacity , predicted 1st: get|max|max
Original: choose|random|datanode|by|remaining|capacity , predicted 1st: get
Original: report|bad|blocks , predicted 1st: do|execute
Original: get|priority , predicted 1st: get|priority|priority
Original: get|job|status , predicted 1st: get|job|job
Original: get|job|tracker|info , predicted 1st: get|job|info
Original: update|block|for|pipeline , predicted 1st: convert
Original: get|proxy , predicted 1st: get|proxy
Original: get|rebooted|nodes , predicted 1st: get|nodes
Original: merge|local|to|builder , predicted 1st: check|id
Original: load|capacity|scheduler|configuration , predicted 1st: create|configuration
Original: read|fields , predicted 1st: read
Original: get|root|queue|metrics , predicted 1st: get|queue
Original: get|prefix , predicted 1st: get|name
Original: shutdown|server|instance , predicted 1st: do|test
Original: add|deprecation , predicted 1st: add
Original: get|partial|jobs , predicted 1st: get
Original: get|file|info , predicted 1st: get|response
Original: get|x|attrs , predicted 1st: do|get
Original: add|block , predicted 1st: do|process
Original: set|master|key , predicted 1st: set|key
Original: set|rm|context , predicted 1st: set|context
Original: resolve , predicted 1st: get|cached|cached|cached|cached
Original: get|x|attrs , predicted 1st: get
Original: get|link|target , predicted 1st: execute
Original: create|new|server|instance , predicted 1st: create|server
Original: check|state , predicted 1st: check|failed
Original: convert|from|proto|format , predicted 1st: to
Original: get|bytes|needed , predicted 1st: get|bytes
Original: get|base|operations , predicted 1st: get
Original: construct|task|report , predicted 1st: init
Original: set|long , predicted 1st: set
Original: configure , predicted 1st: get|job|data
Original: set|map|output|compression|emulation|ratio , predicted 1st: set|output|compression|compression
Original: get|description , predicted 1st: get|command|command|name
Original: set|verify|checksum , predicted 1st: verify
Original: get|phase , predicted 1st: get|phase
Original: get|cfg|option , predicted 1st: get|option
Original: initialize , predicted 1st: initialize
Original: setup , predicted 1st: set
Original: skip|to|next|marker , predicted 1st: skip
Original: get|use|legacy|block|reader|local , predicted 1st: is|local|input|reader|local|local
Original: update|processed|byte|count , predicted 1st: set|read|read|bytes
Original: get|preferred|block|size , predicted 1st: get|size
Original: get|application|for|container , predicted 1st: get|application
Original: set|safe|mode , predicted 1st: get|response
Original: get|applications , predicted 1st: get|response
Original: is|in|list , predicted 1st: is
Original: compare|to , predicted 1st: compare
Original: set|permission , predicted 1st: set|internal|set
Original: maybe|init|builder , predicted 1st: set|up
Original: add|files|needed , predicted 1st: set|files
Original: set|capacity , predicted 1st: set|new|data
Original: get|command|as|args , predicted 1st: get|arguments
Original: get|possibly|decompressed|input|stream , predicted 1st: read|input|stream
Original: format|description , predicted 1st: to|string
Original: get|commands , predicted 1st: get
Original: add|new|pending|cached , predicted 1st: process
Original: create|from|info|and|defaults , predicted 1st: build|cache
Original: get|executor , predicted 1st: get|command|executor
Original: create|client , predicted 1st: create
Original: list|corrupt|file|blocks , predicted 1st: get|blocks
Original: add|directive|from|edit|log , predicted 1st: get
Original: refresh , predicted 1st: reset|time|time
Original: set|allocated|resource , predicted 1st: set|resource
Original: get|block|locations , predicted 1st: get|response
Original: get|codec|classes , predicted 1st: get|supported
Original: handle , predicted 1st: before|released
Original: get|datanode|report , predicted 1st: get
Original: not|null|elements , predicted 1st: get|list
Original: get|legacy|oiv|image|dir , predicted 1st: get|image|image|image
Original: emit|record , predicted 1st: do|get
Original: get|snapshottable|dir|listing , predicted 1st: get|list|status
Original: new|drop|behind , predicted 1st: new|strategy|strategy|strategy
Original: get|opts , predicted 1st: get|set
Original: handle , predicted 1st: scheduler
Original: save , predicted 1st: save
Original: remove|default|acl , predicted 1st: do|get
Original: get|switch|map , predicted 1st: get|map|map
Original: is|allowed|delegation|token|op , predicted 1st: is|valid
Original: get|auxillary|service|data , predicted 1st: get
Original: set|next , predicted 1st: set|next
Original: remove|service , predicted 1st: remove
Original: get|server|defaults , predicted 1st: get|server|server|server
Original: setup|test|env , predicted 1st: test
Original: get|pattern , predicted 1st: get|default|value
Original: get|active|tracker|names , predicted 1st: get|active
Original: get|block|local|path|info , predicted 1st: get|local|path
Original: return|decompressor , predicted 1st: update
Original: add|user|identifiers , predicted 1st: add
Original: pre|head , predicted 1st: set|up
Original: recursive|delete , predicted 1st: delete
Original: create , predicted 1st: do|create
Original: wait|for|recovered|containers , predicted 1st: wait
Original: get|file|status , predicted 1st: get|status
Original: list|status , predicted 1st: get|status
Original: set|container|exit|status , predicted 1st: set|status|status
Original: open|input|stream , predicted 1st: get|url
Original: recurse|path , predicted 1st: process
Original: get|value , predicted 1st: get|class|name
Original: parse|item , predicted 1st: create|item
Original: get|queue|acls|for|current|user , predicted 1st: get|current|queue
Original: call , predicted 1st: get
Original: run , predicted 1st: test
Original: send|mtf|values , predicted 1st: test
Original: check|and|get|hs|proxy , predicted 1st: get|running|proxy
Original: disallow|snapshot , predicted 1st: snapshot|snapshot
Original: get|running|maps , predicted 1st: get|running|running
Original: get|sum|buffer|size , predicted 1st: get|max|size|size
Original: add|deprecation , predicted 1st: add
Original: during|merge , predicted 1st: method
Original: service|init , predicted 1st: init
Original: get|process|id , predicted 1st: get
Original: create , predicted 1st: create|output|stream|stream
Original: compute|steady|shares , predicted 1st: process
Original: get|trimmed , predicted 1st: get
Original: get|remote|namenode|proxy , predicted 1st: get|node
Original: get|total|maps , predicted 1st: get|total|total
Original: write , predicted 1st: write
Original: get|progress , predicted 1st: get
Original: get|mapped|queue|for|test , predicted 1st: get|queue|queue
Original: get|default|block|size , predicted 1st: get|default|size
Original: get|duration , predicted 1st: get|duration
Original: send|mtf|values , predicted 1st: foo
Original: expand|argument , predicted 1st: get|data
Original: get|map|attempt|completion|events , predicted 1st: get|completion|completion
Original: kill|task , predicted 1st: test|fail|request
Original: has|expired , predicted 1st: has|expired
Original: write|header|and|response , predicted 1st: write
Original: get|min|max|long , predicted 1st: get|range
Original: get|datanode|storage|report , predicted 1st: get|response
Original: process|path , predicted 1st: do|update
Original: new|instance , predicted 1st: create|container|container
Original: get|num|chunks , predicted 1st: get|size
Original: get|additional|datanode , predicted 1st: do|get
Original: get|attempt|id , predicted 1st: get|id
Original: convert|to|proto|format , predicted 1st: convert
Original: get|record|reader|queue , predicted 1st: get|q|q
Original: iterator , predicted 1st: get|all|names
Original: get|user , predicted 1st: get|user
Original: set|container|state , predicted 1st: set|state
Original: create|client , predicted 1st: create|client
Original: call , predicted 1st: send
Original: service|init , predicted 1st: set|up
Original: print|usage , predicted 1st: print
Original: content , predicted 1st: get|sub|class
Original: modify|cache|directive , predicted 1st: cache|cache
Original: allocate , predicted 1st: get
Original: get|ez|for|path , predicted 1st: get|for|path
Original: write , predicted 1st: write
Original: new|instance , predicted 1st: create|container|container
Original: abandon|block , predicted 1st: do|get|response
Original: get|dfs , predicted 1st: get|file|system
Original: get|node|rack|name , predicted 1st: get
Original: flush , predicted 1st: flush
Original: get|period , predicted 1st: get|period
Original: convert|to|proto|format , predicted 1st: get|container
Original: get|maximum|application|master|resource|per|queue|percent , predicted 1st: get|web|resource
Original: get|node , predicted 1st: get|node
Original: get|file|status , predicted 1st: get|status
Original: get|mr|cluster , predicted 1st: get|cluster|cluster
Original: set|max|relative|expiry|ms , predicted 1st: max|max
Original: get|server|defaults , predicted 1st: get|server|server
Original: get|sleep|range , predicted 1st: get|range|range
Original: of , predicted 1st: get
Original: get|acl|status , predicted 1st: do|get|status
Original: get|master|key , predicted 1st: get|key
Original: set|acl , predicted 1st: set|config
Original: get|range , predicted 1st: get|integer
Original: create|pool , predicted 1st: create
Original: get|password|from|config , predicted 1st: get|pass
Original: get|total|nodes , predicted 1st: get|total|nodes
Original: set|home|dir|conf , predicted 1st: set|default|config|home
Original: get|uri|default|port , predicted 1st: get|default|port|port
Original: get|config|view|fs|prefix , predicted 1st: get|config|config|config|prefix
Original: terminate , predicted 1st: do|error
Original: set|credentials , predicted 1st: set|credentials
Original: get|renewer|for|token , predicted 1st: get|user|name
Original: set|acls , predicted 1st: set
Original: get|token|info , predicted 1st: get|token|token
Original: annotation|type , predicted 1st: get|annotation
Original: value , predicted 1st: get|token|class
Original: modify|cache|pool , predicted 1st: update|cache
Original: set|x|attr , predicted 1st: set|attribute
Original: set|working|directory , predicted 1st: set|dir
Original: set|x|attr , predicted 1st: do|get
Original: set|size , predicted 1st: set|size
Original: update , predicted 1st: set|up
Original: sleep , predicted 1st: wait
Original: set , predicted 1st: set|name
Original: set|tracked|compressor , predicted 1st: set
Original: update , predicted 1st: get|n
Original: subset , predicted 1st: create
Original: get|application|attempts , predicted 1st: get|response
Original: get|replication , predicted 1st: get
Original: bs|get|bit , predicted 1st: read
Original: finished , predicted 1st: run
Original: get|result|file , predicted 1st: get|result
Original: parse , predicted 1st: parse|url
Original: write , predicted 1st: write
Original: get|cluster|nodes , predicted 1st: do|get|cluster
Original: get|instance , predicted 1st: get|instance
Original: set|maximum|capacity , predicted 1st: set
Original: get|port , predicted 1st: get|host
Original: get|domain|socket|factory , predicted 1st: get|socket|socket|factory
Original: handle|options , predicted 1st: do|set|up
Original: standardize|compression|ratio , predicted 1st: get|float
Original: get|opt , predicted 1st: is|option
Original: append , predicted 1st: append
Original: get|executor , predicted 1st: get|command|executor
Original: load|resource , predicted 1st: get|model
Original: get|blacklisted|tracker|names , predicted 1st: get
Original: remove|cache|directive , predicted 1st: remove
Original: bs|get|u|byte , predicted 1st: test
Original: initialize|tables , predicted 1st: 
Original: post|execute , predicted 1st: clear|all
Original: set|format , predicted 1st: set
Original: copy|to|local|file , predicted 1st: copy
Original: get|socket|factory , predicted 1st: get|socket|factory
Original: modify|acl|entries , predicted 1st: get|response|entries
Original: set|owner|name , predicted 1st: set|owner|name
Original: get|working|directory , predicted 1st: get|working|directory
Original: get|sort|finish|time , predicted 1st: get|time|time
Original: get|token|info , predicted 1st: get|token|token
Original: annotation|type , predicted 1st: get|annotation
Original: value , predicted 1st: get|token|class
Original: check|class|loader , predicted 1st: set|by|class|loader
Original: get|lsb , predicted 1st: get
Original: get|fs|status , predicted 1st: get|status
Original: open , predicted 1st: read|input
Original: handle|completed|container , predicted 1st: remove|task
Original: get|output|committer , predicted 1st: get|output
Original: hb|create|decode|tables , predicted 1st: get
Original: get , predicted 1st: get|value
Original: add|cache|pool , predicted 1st: get|cache
Original: parse|host|port|list , predicted 1st: get|port
Original: reset , predicted 1st: reset
Original: close , predicted 1st: close
Original: put|env|if|not|null , predicted 1st: put
Original: queue|is|really|empty , predicted 1st: is|empty
Original: reinit , predicted 1st: apply
Original: reload|configuration , predicted 1st: clear
Original: set|limit , predicted 1st: set|limit
Original: tear|down , predicted 1st: tear|down
Original: write|response , predicted 1st: write
Original: remove|acl , predicted 1st: remove|request
Original: get|container|exit|status , predicted 1st: get|status|status
Original: set|user|limit , predicted 1st: set|user|limit
Original: open , predicted 1st: open
Original: list|cache|directives , predicted 1st: get
Original: list|status , predicted 1st: get|status
Original: string|repr , predicted 1st: to|string
Original: get|connection|ids , predicted 1st: get
Original: create , predicted 1st: create
Original: get|use|port|for|node|name , predicted 1st: is|default|default|default|port
Original: get|default|extension , predicted 1st: get|jsp|path
Original: get|max|relative|expiry|ms , predicted 1st: get|max
Original: update|checkpoint|counters , predicted 1st: update|update
Original: is|public , predicted 1st: has|permissions|permissions
Original: get|status , predicted 1st: get|status
Original: get , predicted 1st: get
Original: check|limit , predicted 1st: validate
Original: initialize|queues , predicted 1st: do|start
Original: get|replication , predicted 1st: get|min|min
Original: rolling|upgrade , predicted 1st: do|upgrade
Original: parse|queue , predicted 1st: create|queue
Original: get|decommissioned|nodes , predicted 1st: get|nodes
Original: get|content|summary , predicted 1st: get|content|summary
Original: get|hadoop|version|built|on , predicted 1st: get|version|version|on|version
Original: get|output|key|class , predicted 1st: get|class|key
Original: add|cache|directive , predicted 1st: get
Original: namespace|id|matches , predicted 1st: is|valid
Original: setup|rand|part|c , predicted 1st: reset
Original: get|classes , predicted 1st: get|class|names
Original: skip , predicted 1st: skip
Original: get|raw|fs , predicted 1st: get
Original: get|context , predicted 1st: get|context
Original: remove|internal , predicted 1st: do|remove
Original: get|max|client|retry , predicted 1st: get|max|client
Original: not|null , predicted 1st: get
Original: new|instance , predicted 1st: get|id|id|id
Original: get|replacement|command , predicted 1st: get|name
Original: get|minimum|allocation , predicted 1st: get|minimum|minimum|minimum
Original: service|stop , predicted 1st: stop|stop
Original: get|capacity , predicted 1st: get|bytes|length
Original: validate|name , predicted 1st: validate|pool|name
Original: get|replica|visible|length , predicted 1st: get|length|visible
Original: setup|tokens , predicted 1st: set|token
Original: should|write|use|block|size , predicted 1st: is
Original: close , predicted 1st: close
Original: get|content|summary , predicted 1st: get|summary
Original: copy|bytes , predicted 1st: get|result
Original: get|maximum|capacity , predicted 1st: get|max
Original: get|bytes|per|sum , predicted 1st: get|default|bytes|per|bytes
Original: schedule , predicted 1st: start
Original: get|total|files , predicted 1st: get|option
Original: setup|no|rand|part|c , predicted 1st: set|current|state
Original: complete , predicted 1st: execute
Original: storage|version|matches , predicted 1st: is|valid
Original: reinitialize , predicted 1st: set|configuration
Original: set|quota , predicted 1st: get|response
Original: get|ez|for|path , predicted 1st: convert
Original: can|commit , predicted 1st: is|task
Original: get|interface , predicted 1st: get
Original: set|verify|checksum , predicted 1st: set|verify
Original: get|from|conf , predicted 1st: get|client
Original: read|fields , predicted 1st: read|from
Original: set|permission , predicted 1st: set|permission
Original: set|test|desc , predicted 1st: set|test
Original: remove|acl|entries , predicted 1st: remove|entries
Original: copy|from|local|file , predicted 1st: copy
Original: choose|block|size , predicted 1st: get|max|length|length
Original: get|time|duration , predicted 1st: convert
Original: get|app|private|dir , predicted 1st: get|dir
Original: add|mapper , predicted 1st: set|input|input|map
Original: meta|save , predicted 1st: do|get|response
Original: get|tasks , predicted 1st: get|tasks
Original: recover|lease , predicted 1st: execute
Original: fill|buffer , predicted 1st: read|from
Original: done|application , predicted 1st: stop
Original: overlay , predicted 1st: add|properties
Original: get|queue|comparator , predicted 1st: get|queue|comparator
Original: set|total|log|file|size , predicted 1st: set|max|events|size
Original: is|native|bzip|loaded , predicted 1st: is|native
Original: set|x|attr , predicted 1st: set|attribute
Original: prepare|conf , predicted 1st: get
Original: set|balancer|bandwidth , predicted 1st: get|response
Original: remove|internal , predicted 1st: set|up
Original: init , predicted 1st: init
Original: get|float , predicted 1st: get|float
Original: clear , predicted 1st: clear
Original: get|local|destination , predicted 1st: main
Original: get|pos , predicted 1st: get
Original: complete , predicted 1st: do|get
Original: get|conf|file , predicted 1st: get|file
Original: cancel|delegation|token , predicted 1st: new|token
Original: remove|default|acl , predicted 1st: remove|default|object
Original: allow|snapshot , predicted 1st: snapshot|snapshot
Original: add|bytes|cached , predicted 1st: set|bytes
Original: remove|acl , predicted 1st: remove
Original: preserve|attributes , predicted 1st: set
Original: get|server|defaults , predicted 1st: get|server|server|server
Original: close , predicted 1st: close
Original: get|cache|directives , predicted 1st: get
Original: get|readahead , predicted 1st: get
Original: conf|as|string , predicted 1st: get
Original: get|initial|working|directory , predicted 1st: get|path
Original: get|queue , predicted 1st: get|queue
Original: get|hadoop|version , predicted 1st: get|version
Original: ge , predicted 1st: get|int
Original: get|node|locality|delay , predicted 1st: get|delay
Original: create|record|reader , predicted 1st: create|reader|reader
Original: get|names , predicted 1st: get|names
Original: write|object , predicted 1st: write
Original: get|id , predicted 1st: get|id
Original: is|uber , predicted 1st: get
Original: get|bytes|cached , predicted 1st: get|cached|bytes
Original: configure , predicted 1st: configure
Original: get|max|map|attempts , predicted 1st: get|max|map|map
Original: process|path|argument , predicted 1st: process|paths
Original: get|test|desc , predicted 1st: get|test
Original: flush , predicted 1st: flush
Original: refresh|loaded|job|cache , predicted 1st: on|refresh
Original: process|paths , predicted 1st: process|path
Original: do|get , predicted 1st: do|get
Original: get|output|format|class , predicted 1st: get|output|class
Original: cancel , predicted 1st: set|cancel
Original: modify|acl|entries , predicted 1st: do|get|entries
Original: get|time , predicted 1st: get|time
Original: remove|x|attr , predicted 1st: remove
Original: new|instance , predicted 1st: get|container|container
Original: get|config|view|fs|prefix , predicted 1st: get|table|name
Original: get|reducer|amount , predicted 1st: get|option
Original: wait|for|server|down , predicted 1st: is
Original: get|file|system , predicted 1st: get|file|system
Original: save|namespace , predicted 1st: do|get|response
Original: close , predicted 1st: close
Original: abandon|block , predicted 1st: do|test
Original: get|option|description|listing , predicted 1st: get
Original: get|container|exit|status , predicted 1st: get|status
Original: get|connection , predicted 1st: get|connection
Original: choose|datanodes|for|caching , predicted 1st: get
Original: concat , predicted 1st: do|process
Original: read|line , predicted 1st: read
Original: service|start , predicted 1st: start
Original: new|thread , predicted 1st: get|thread
Original: run , predicted 1st: run
Original: wait|for|server|up , predicted 1st: is
Original: get|input|split , predicted 1st: get|input|split
Original: get|root|queues , predicted 1st: get|root
Original: add|mapper , predicted 1st: set|input|value|map
Original: get , predicted 1st: get|property
Original: set|file|visibilities , predicted 1st: set
Original: get|job|tracker|status , predicted 1st: get|status
Original: service|start , predicted 1st: start
Original: get|graylisted|tracker|names , predicted 1st: get|all
Original: get|system|dir , predicted 1st: get|directory
Original: set|work|factor , predicted 1st: set
Original: set|cached|locations , predicted 1st: add|cached
Original: get|total|reduces , predicted 1st: get|total|total
Original: delete , predicted 1st: delete
Original: get|random|seed , predicted 1st: get|option
Original: get|queues , predicted 1st: get
Original: process|nonexistent|path , predicted 1st: set|path
Original: set|call|id|and|retry|count , predicted 1st: set
Original: get|resources|option , predicted 1st: get|container|name
Original: get|trimmed|string|collection , predicted 1st: get|string
Original: get|container|state , predicted 1st: convert
Original: get|compression|algorithm|by|name , predicted 1st: get
Original: create|compressor , predicted 1st: get
Original: get|record|reader , predicted 1st: get|record|reader
Original: floor|index , predicted 1st: get|index
Original: rename|internal , predicted 1st: do|rename
Original: med , predicted 1st: byte
Original: set , predicted 1st: set|data
Original: setup|block , predicted 1st: test
Original: get|boolean , predicted 1st: is|empty
Original: compute|needed , predicted 1st: get|file|size
Original: set|limit , predicted 1st: set|limit
Original: get|server|defaults , predicted 1st: get|server|server
Original: get|absolute|max|capacity , predicted 1st: get|max|max
Original: need|to|return|image , predicted 1st: is
Original: get|quiet|mode , predicted 1st: is
Original: get|info , predicted 1st: get|info
