Original: accept|charset , predicted 1st: add|attribute
Original: get , predicted 1st: get|instance
Original: id , predicted 1st: add|attribute
Original: refresh|admin|acls , predicted 1st: get
Original: small , predicted 1st: set|selector
Original: ismap , predicted 1st: add
Original: set|application|list , predicted 1st: set|application
Original: store|token|master|key , predicted 1st: create|file
Original: cite , predicted 1st: set|selector
Original: parse|general|options , predicted 1st: print
Original: generate|graph|viz , predicted 1st: get
Original: unpack , predicted 1st: get
Original: create , predicted 1st: get|output|stream|stream
Original: class , predicted 1st: add|attribute
Original: initialize|metadata|cache , predicted 1st: set|cache|cache|cache
Original: id , predicted 1st: add|attribute
Original: get|configuration , predicted 1st: get
Original: service|stop , predicted 1st: stop
Original: fix|block|locations , predicted 1st: get
Original: accesskey , predicted 1st: add|attribute
Original: get|expired|heartbeats , predicted 1st: get
Original: get|capacity|used|percent , predicted 1st: get|total
Original: parse|entry , predicted 1st: get|socket
Original: append , predicted 1st: create|stream
Original: get|protocol|address , predicted 1st: get|address
Original: get|task|type , predicted 1st: get|task|type
Original: load|state , predicted 1st: get|state|state
Original: convert|to|proto|format , predicted 1st: get|resource
Original: height , predicted 1st: add|attribute
Original: get|instance , predicted 1st: get|instance
Original: base , predicted 1st: create
Original: modify|cache|pool , predicted 1st: cache|cache
Original: get|file|status , predicted 1st: do|validate
Original: for , predicted 1st: add|attribute
Original: get|dmax , predicted 1st: get
Original: enter|state , predicted 1st: load|state
Original: append , predicted 1st: get|output|stream|stream
Original: get|file|checksum , predicted 1st: get|file
Original: puts , predicted 1st: main
Original: name , predicted 1st: add|attribute
Original: body , predicted 1st: create|body
Original: type , predicted 1st: add
Original: init|local|container|list , predicted 1st: convert|from
Original: get|type , predicted 1st: get|type
Original: type , predicted 1st: add|attribute
Original: create|file|system , predicted 1st: get|system|cluster
Original: class , predicted 1st: add|attribute
Original: onmousemove , predicted 1st: add
Original: set|reduce|output|records , predicted 1st: set|to|stream
Original: get|proto , predicted 1st: build
Original: assert|matches , predicted 1st: assert|output
Original: get|name|node|ha|state , predicted 1st: get|status
Original: get|rolling|update|status , predicted 1st: get|update|status
Original: cite , predicted 1st: 
Original: get|web|apps|path , predicted 1st: get|resource|name
Original: get|full|path , predicted 1st: get|parent
Original: get|reduce|resource|usage|metrics , predicted 1st: get
Original: delete , predicted 1st: do|get
Original: get|container|id , predicted 1st: get|container|container|container
Original: alt , predicted 1st: add
Original: concat , predicted 1st: validate
Original: refresh|job|retention|settings , predicted 1st: refresh
Original: get|scope , predicted 1st: get|scope
Original: p , predicted 1st: set|selector
Original: output|records , predicted 1st: generate
Original: get|include|applications , predicted 1st: is|include
Original: modify|acl|entries , predicted 1st: compile
Original: get|current|user|resolver , predicted 1st: get|user|resolver
Original: maybe|init|builder , predicted 1st: new|builder
Original: em , predicted 1st: get
Original: restart , predicted 1st: save
Original: to|array , predicted 1st: get
Original: setup|queue|configs , predicted 1st: set|max|max|max
Original: get|commands , predicted 1st: get
Original: start|storage , predicted 1st: close|state
Original: append , predicted 1st: get|output|stream|stream
Original: merge|local|to|builder , predicted 1st: set|node|manager|node
Original: get|completion|event|count , predicted 1st: get|completion|count
Original: enter , predicted 1st: put
Original: read|fields , predicted 1st: read|from
Original: id , predicted 1st: add|attribute
Original: wait|for|standby|to|catch|up , predicted 1st: do|process|down
Original: new|instance , predicted 1st: create|request|request
Original: add|datanode , predicted 1st: add
Original: clean , predicted 1st: run
Original: id , predicted 1st: add|attribute
Original: add|failover|cli|opts , predicted 1st: add
Original: onfocus , predicted 1st: add|attribute
Original: strong , predicted 1st: set|selector
Original: get|proto , predicted 1st: build
Original: set|submitted , predicted 1st: reset
Original: assert|glob|equals , predicted 1st: assert|equals
Original: get|home|directory , predicted 1st: get|home
Original: get|health|state , predicted 1st: get|state
Original: width , predicted 1st: add|attribute
Original: get|proxy , predicted 1st: get|protocol
Original: append|prefix , predicted 1st: set|value
Original: get|reduce|bytes , predicted 1st: get|output
Original: i , predicted 1st: set|selector
Original: onmousedown , predicted 1st: add
Original: size , predicted 1st: size
Original: glob , predicted 1st: get|file|names
Original: counter , predicted 1st: set
Original: try|connect , predicted 1st: run
Original: get|modification|time , predicted 1st: get|time|time
Original: get|full|name , predicted 1st: get|full|name|name
Original: list|status , predicted 1st: get|file|status
Original: rel , predicted 1st: add
Original: init|completion|events , predicted 1st: add|completion|events
Original: strong , predicted 1st: get
Original: onmouseover , predicted 1st: add|attribute
Original: tabindex , predicted 1st: add|value
Original: can|emulate|compression , predicted 1st: is|show
Original: id , predicted 1st: add|attribute
Original: get|x|attr , predicted 1st: get|json
Original: get , predicted 1st: get
Original: del , predicted 1st: 
Original: change|permission , predicted 1st: set|owner
Original: is|included , predicted 1st: is|from|id
Original: id , predicted 1st: add|attribute
Original: is|alive , predicted 1st: is|started
Original: incorporate|counter , predicted 1st: set|field
Original: write|top|level|dirs , predicted 1st: get|all|path
Original: check|requestor|or|send|error , predicted 1st: is|valid
Original: get|reduce|input|records , predicted 1st: get
Original: id , predicted 1st: add|attribute
Original: add|multi|exception , predicted 1st: do|multi
Original: archive , predicted 1st: create
Original: h , predicted 1st: set|selector
Original: transition|to|standby , predicted 1st: get|last
Original: get|number|of|paths , predicted 1st: get|number|of|number
Original: class , predicted 1st: add|attribute
Original: code , predicted 1st: set|selector
Original: get|proto , predicted 1st: build
Original: optgroup , predicted 1st: 
Original: selected , predicted 1st: add|attribute
Original: class , predicted 1st: add|attribute
Original: p , predicted 1st: m
Original: get|full|line , predicted 1st: get|line|line
Original: combine|edges , predicted 1st: get
Original: maybe|init|builder , predicted 1st: new|builder
Original: block , predicted 1st: create|block|block
Original: get|connector|address , predicted 1st: get|address
Original: maybe|init|builder , predicted 1st: do|process
Original: get|job|conf , predicted 1st: get|info
Original: map , predicted 1st: map
Original: to|response , predicted 1st: handle|failure
Original: onfocus , predicted 1st: add|attribute
Original: check|storage|info|or|send|error , predicted 1st: check
Original: publish|plain|data|statistics , predicted 1st: get|data|data
Original: get|file|block|locations , predicted 1st: get|resource|block
Original: onreset , predicted 1st: add
Original: set|was|inline , predicted 1st: set|inline
Original: join , predicted 1st: test|join
Original: kbd , predicted 1st: 
Original: get|working|directory , predicted 1st: get|path|path
Original: h , predicted 1st: get
Original: tabindex , predicted 1st: add|value
Original: get|permission , predicted 1st: get|permission
Original: maybe|init|builder , predicted 1st: new|builder
Original: down|heap , predicted 1st: compare
Original: create|url , predicted 1st: create|url
Original: log , predicted 1st: on|failure
Original: merge|local|to|builder , predicted 1st: set|default|resource
Original: disabled , predicted 1st: add|default
Original: has|access , predicted 1st: check|access
Original: fs|execute , predicted 1st: get|user
Original: get|name|node|id|of|other|node , predicted 1st: get|configuration
Original: add|callback , predicted 1st: add
Original: method , predicted 1st: add
Original: id , predicted 1st: add|attribute
Original: scan|intermediate|directory , predicted 1st: do|delete
Original: run , predicted 1st: run
Original: kbd , predicted 1st: get
Original: read|file|to|set|with|file|input|stream , predicted 1st: read
Original: id , predicted 1st: add|attribute
Original: write|reverse|ordered|long , predicted 1st: get|byte
Original: dl , predicted 1st: get|dl|model
Original: onchange , predicted 1st: add|attribute
Original: pre , predicted 1st: set|selector
Original: new|sub|graph , predicted 1st: create
Original: class , predicted 1st: add|attribute
Original: set|allow|standby|reads , predicted 1st: set
Original: new|instance , predicted 1st: create|response
Original: headers , predicted 1st: add|attribute
Original: permission|to|string , predicted 1st: to|string
Original: get|proto , predicted 1st: build
Original: get|class , predicted 1st: get|class
Original: get|file|status , predicted 1st: get|file|status
Original: is|instrumentation|access|allowed , predicted 1st: is|access
Original: get|x|attrs , predicted 1st: get|path|path
Original: get|recursive , predicted 1st: is|recursive
Original: get|block|size , predicted 1st: get
Original: shutdown , predicted 1st: tear|down
Original: get|proto , predicted 1st: build
Original: set|task|type , predicted 1st: set|task|type
Original: class , predicted 1st: add|attribute
Original: id , predicted 1st: add|attribute
Original: get , predicted 1st: get|hostname
Original: get|groups|for|user , predicted 1st: get|user|groups
Original: abbr , predicted 1st: get
Original: create|non|recursive , predicted 1st: create|stream
Original: clear|task|reports , predicted 1st: clear
Original: pre , predicted 1st: set|selector
Original: has|includes , predicted 1st: is|empty
Original: do|work , predicted 1st: do|work
Original: get|excludes , predicted 1st: get|excludes
Original: gauge , predicted 1st: set
Original: set|reduce|input|records , predicted 1st: set
Original: convert|from|proto|format , predicted 1st: create|application|application|application|application|application|report
Original: start|storage , predicted 1st: close
Original: refresh|log|retention|settings , predicted 1st: get
Original: create , predicted 1st: create|stream
Original: print|counters , predicted 1st: get|group
Original: onfocus , predicted 1st: add|attribute
Original: set|job|queue , predicted 1st: set|queue
Original: print|start|tag , predicted 1st: print
Original: basename , predicted 1st: get|path
Original: add|task|report , predicted 1st: add|task
Original: convert|from|proto|format , predicted 1st: create|task
Original: dfn , predicted 1st: get
Original: put , predicted 1st: do|process
Original: refresh|job|retention|settings , predicted 1st: refresh
Original: get|delegation|token , predicted 1st: get|current|auth|token
Original: run , predicted 1st: get|token
Original: process|reduce|attempt|line , predicted 1st: get|task
Original: add|replication|trigger|thread , predicted 1st: test|all|all
Original: do|an|action , predicted 1st: run
Original: read|counted|line , predicted 1st: read
Original: map , predicted 1st: set|selector
Original: action , predicted 1st: add|attribute
Original: add|servlet , predicted 1st: add|servlet|path|mapping
Original: stop|proxy , predicted 1st: stop
Original: quote|output|stream , predicted 1st: create|output
Original: write , predicted 1st: write
Original: write , predicted 1st: write|html
Original: flush , predicted 1st: flush
Original: close , predicted 1st: close
Original: get|initial|working|directory , predicted 1st: get|working|directory
Original: id , predicted 1st: add|attribute
Original: create|job|factory , predicted 1st: create|job|factory
Original: remove|token , predicted 1st: remove|token|token
Original: get|base|conf , predicted 1st: get
Original: set|filename , predicted 1st: set
Original: print|last , predicted 1st: get|task
Original: merge|local|to|builder , predicted 1st: set|list
Original: print|usage , predicted 1st: print
Original: set|include|applications , predicted 1st: set|include|include
Original: h , predicted 1st: 
Original: make|qualified|located , predicted 1st: create|file
Original: init , predicted 1st: set|up|class
Original: get|data , predicted 1st: get|data
Original: id , predicted 1st: add|attribute
Original: onkeypress , predicted 1st: add|attribute
Original: finalize|job , predicted 1st: set|up
Original: del , predicted 1st: 
Original: em , predicted 1st: get
Original: tabindex , predicted 1st: add|value
Original: samp , predicted 1st: get
Original: refresh , predicted 1st: create|response
Original: get|proto , predicted 1st: build
Original: maybe|init|builder , predicted 1st: new|builder
Original: samp , predicted 1st: get
Original: convert|to|proto|format , predicted 1st: get
Original: write|random|text , predicted 1st: write
Original: set|threads , predicted 1st: set|max|threads
Original: service|stop , predicted 1st: stop
Original: merge|local|to|builder , predicted 1st: set
Original: create|hs|proxy|with|get|user|mappings|protocol , predicted 1st: get|protocol|protocol
Original: set|queue|name , predicted 1st: set|queue|name
Original: create|hard|link|mult , predicted 1st: create|link
Original: colspan , predicted 1st: add|attribute
Original: main , predicted 1st: do|test
Original: init|local|applications|list , predicted 1st: format|from|format
Original: set|includes|file , predicted 1st: set|includes
Original: id , predicted 1st: add|attribute
Original: refresh , predicted 1st: do|set
Original: get|live|datanode|count , predicted 1st: get|size
Original: start|threads , predicted 1st: create
Original: seek|to|new|source , predicted 1st: is|valid
Original: id , predicted 1st: add|attribute
Original: init|users , predicted 1st: set|users
Original: id , predicted 1st: add|attribute
Original: class , predicted 1st: add|attribute
Original: id , predicted 1st: add|attribute
Original: class , predicted 1st: add|attribute
Original: to|response , predicted 1st: get|response
Original: new|instance , predicted 1st: create|response
Original: get|lib|jars , predicted 1st: get
Original: onfocus , predicted 1st: add|attribute
Original: monitor|health , predicted 1st: do|get
Original: address , predicted 1st: get
Original: h , predicted 1st: get
Original: copy|to|local|file , predicted 1st: copy
Original: href , predicted 1st: add|attribute
Original: create|hard|link , predicted 1st: execute|link
Original: get|file|system , predicted 1st: get|system|file
Original: type , predicted 1st: add|attribute
Original: id , predicted 1st: add|attribute
Original: var , predicted 1st: get
Original: print|tasks , predicted 1st: get|task
Original: get|current|block , predicted 1st: get|current|block
Original: set|reduce|resource|usage|metrics , predicted 1st: set|resource|type
Original: add|default|apps , predicted 1st: set|up
Original: get|proxy , predicted 1st: get|client
Original: get|link|count , predicted 1st: get|command|command
Original: read|file|to|set , predicted 1st: set|as|file
Original: name , predicted 1st: add|attribute
Original: get|input|stream , predicted 1st: get|input|stream
Original: get|proxies|for|all|name|nodes|in|nameservice , predicted 1st: get|client
Original: merge|local|to|builder , predicted 1st: set|report|format|format
Original: print|usage , predicted 1st: test
Original: write|reverse|ordered|long , predicted 1st: write|long
Original: get|token|bucket|path , predicted 1st: get|token
Original: get|delay , predicted 1st: convert
Original: set|datagram|socket , predicted 1st: set|connect|socket
Original: set|working|directory , predicted 1st: consume
Original: get|job|task|attempt|id , predicted 1st: get|task|info
Original: merge|local|to|builder , predicted 1st: set|task|id
Original: maybe|init|builder , predicted 1st: new|builder
Original: canonical|distributions|enter , predicted 1st: add
Original: get|acl|status , predicted 1st: get|status
Original: attempts|table|init , predicted 1st: get|test|render
Original: get|proto , predicted 1st: build
Original: create|hard|link|mult , predicted 1st: get|file|count
Original: id , predicted 1st: add|attribute
Original: clear|quota , predicted 1st: set
Original: process|parsed|line , predicted 1st: process|line
Original: print|analysis , predicted 1st: get|task
Original: h , predicted 1st: 
Original: id , predicted 1st: add|attribute
Original: move|to|done|now , predicted 1st: rename
Original: get|file|link|status , predicted 1st: get|file|file
Original: get|connection , predicted 1st: get|connection
Original: run , predicted 1st: get|connection
Original: get|proto , predicted 1st: build
Original: sub , predicted 1st: sub
Original: get|pos , predicted 1st: get|long
Original: new|instance , predicted 1st: create|request|request
Original: create|output|stream , predicted 1st: get|output|stream|stream
Original: xdr|int , predicted 1st: write
Original: class , predicted 1st: add|attribute
Original: delete , predicted 1st: is|valid
Original: width , predicted 1st: add|value
Original: datetime , predicted 1st: add|attribute
Original: init , predicted 1st: set|up
Original: gen|methods , predicted 1st: write|method
Original: add , predicted 1st: add
Original: create|proxy , predicted 1st: create|protocol
Original: new|instance , predicted 1st: get|request
Original: get|acl|status , predicted 1st: do|get
Original: apparent|xml|file|start , predicted 1st: is|line
Original: test|multiple|non|existing|users , predicted 1st: test|create|output
Original: list|status , predicted 1st: get|stats
Original: init|cluster , predicted 1st: set|up
Original: id , predicted 1st: add|attribute
Original: test|multiple|existing|users , predicted 1st: test|show|output
Original: enctype , predicted 1st: add|attribute
Original: h , predicted 1st: get
Original: set|owner , predicted 1st: do|validate
Original: convert|from|proto|format , predicted 1st: create
Original: get|symlink|in|bytes , predicted 1st: get
Original: get|server|defaults , predicted 1st: get|server|server
Original: get|job|tasks , predicted 1st: get|all|tasks
Original: new|distribution|block , predicted 1st: get|all
Original: class , predicted 1st: add|attribute
Original: dir , predicted 1st: add
Original: print , predicted 1st: print
Original: convert|from|proto|format , predicted 1st: create|node
Original: jobs|post|table|init , predicted 1st: get|test
Original: get|application|attempt|id , predicted 1st: get|application|application|id
Original: get|datanode|info , predicted 1st: create
Original: write , predicted 1st: write|event|event
Original: set|working|directory , predicted 1st: set|working|dir
Original: get|assign|multiple , predicted 1st: is|default
Original: deserialize , predicted 1st: read
Original: check|file|system|x|attr|support , predicted 1st: set
Original: get|combiner|output , predicted 1st: get
Original: add|namespace|diskspace , predicted 1st: get
Original: remove , predicted 1st: add
Original: get|allocation|configuration , predicted 1st: get|failed
Original: fetch|file|list , predicted 1st: get
Original: contains|path , predicted 1st: get|file
Original: get|priority , predicted 1st: get|priority
Original: application|finished , predicted 1st: run
Original: set , predicted 1st: set|double
Original: read|log|version , predicted 1st: get|log|log|version|log
Original: get|duration|statistics , predicted 1st: get|stats|stats|stats
Original: get|file|link|status , predicted 1st: get|file|status
Original: resolve|local|host|ip|address , predicted 1st: get|address|address
Original: init , predicted 1st: read
Original: get|split|hosts , predicted 1st: get|all|and|split
Original: service|stop , predicted 1st: stop
Original: read|file|buffer , predicted 1st: get|bytes|bytes
Original: close , predicted 1st: close
Original: get|first|tx|id , predicted 1st: get
Original: compare|to , predicted 1st: compare
Original: create|job , predicted 1st: get|job
Original: test|move|dir|under|parent , predicted 1st: test|rename
Original: read , predicted 1st: compare
Original: non|occurs|string , predicted 1st: get|file|name
Original: test|rename|directory|as|non|empty|directory , predicted 1st: test|rename
Original: visit|enclosing|element , predicted 1st: write|element
Original: print|usage , predicted 1st: test
Original: create|scheduling|request , predicted 1st: create|request|request
Original: wait|for|decommission , predicted 1st: get
Original: create|file , predicted 1st: create|file
Original: set|edit|log , predicted 1st: set|log|log
Original: track|app , predicted 1st: register
Original: get|value , predicted 1st: get|memory
Original: get|value , predicted 1st: get|virtual|file
Original: get|value , predicted 1st: get|memory
Original: get|value , predicted 1st: get|selected
Original: get|value , predicted 1st: get|memory
Original: get|value , predicted 1st: get|memory
Original: get|value , predicted 1st: get|total
Original: get|value , predicted 1st: get|max
Original: get|value , predicted 1st: get|virtual|virtual
Original: get|value , predicted 1st: get|virtual|virtual
Original: setup , predicted 1st: check
Original: get|num|active|applications , predicted 1st: get|active|num
Original: round|bytes|to|gb , predicted 1st: get|bytes
Original: set|skip|crc , predicted 1st: set|skip|skip
Original: skip|until , predicted 1st: is
Original: get|invalidate|work|pct|per|iteration , predicted 1st: get|work|blocks
Original: ratio , predicted 1st: get|memory
Original: subtract , predicted 1st: foo
Original: get , predicted 1st: get|value
Original: set|block|id , predicted 1st: set|block|id
Original: add , predicted 1st: 
Original: get|init|time , predicted 1st: get|start|time
Original: get|size|based|weight , predicted 1st: is|boolean
Original: assign|containers|on|node , predicted 1st: get|priority
Original: get|ugi , predicted 1st: get|user|user
Original: get|file|listing|path , predicted 1st: get|path|path
Original: get|task|output|path , predicted 1st: get|path
Original: get|active|node|proxy , predicted 1st: get|proxy
Original: is|submitted , predicted 1st: is
Original: get|listing|split|ratio , predicted 1st: get|split|split|split|split
Original: create|dir , predicted 1st: add|file
Original: set|cache|files , predicted 1st: set|config
Original: get|default|port , predicted 1st: get|default|port
Original: get|bind|path , predicted 1st: get|path
Original: get|queue|manager , predicted 1st: get|queue|queue
Original: get|block|token , predicted 1st: get|token|token
Original: is|file , predicted 1st: is
Original: validate|num|chunks|using , predicted 1st: set
Original: get|iv , predicted 1st: get
Original: delete|snapshot , predicted 1st: delete|snapshot
Original: do|call , predicted 1st: delete|snapshot
Original: next , predicted 1st: delete|snapshot
Original: set|acl , predicted 1st: set
Original: do|call , predicted 1st: set
Original: next , predicted 1st: set
Original: set|owner , predicted 1st: set|owner
Original: get|block , predicted 1st: get|block
Original: start|log|segment , predicted 1st: create
Original: done|application|attempt , predicted 1st: stop
Original: get|local|fs|file|context , predicted 1st: get|file|context
Original: get|max|share , predicted 1st: get|max
Original: get|file|link|status , predicted 1st: get|file|status
Original: do|call , predicted 1st: get|file|status
Original: next , predicted 1st: get|file|link
Original: create|active|node|info , predicted 1st: get|active|array
Original: add|snapshot , predicted 1st: test|snapshot|snapshot
Original: handle , predicted 1st: on|event
Original: check|file|status , predicted 1st: assert|file
Original: update , predicted 1st: run|new
Original: add , predicted 1st: add
Original: set|up , predicted 1st: set|up
Original: put , predicted 1st: get|level
Original: create|client|datanode|protocol|proxy , predicted 1st: create|client|client
Original: get|value , predicted 1st: get|value
Original: is|open , predicted 1st: is
Original: test|unsupported|symlink , predicted 1st: test|get|file|status
Original: get|local|datanode|id , predicted 1st: get
Original: release , predicted 1st: set|holder
Original: get|root|queue|info , predicted 1st: get|queue|queue
Original: parse|booleans , predicted 1st: parse|boolean
Original: build|dist|cache|files|list , predicted 1st: write
Original: configure|output|format , predicted 1st: do|read
Original: completed|container , predicted 1st: on|container
Original: close , predicted 1st: close
Original: get|minimum|allocation , predicted 1st: get|default|allocation
Original: event|occurred , predicted 1st: handle|event
Original: get|data|node|stats , predicted 1st: get|node|stats
Original: get|active|standard|bf , predicted 1st: get
Original: add|file|to|class|path , predicted 1st: add|file|to|add|file
Original: set|map|bandwidth , predicted 1st: set|map
Original: flush|internal , predicted 1st: close
Original: init|response , predicted 1st: set|response|response
Original: select|fields , predicted 1st: get|field
Original: multiply|and|normalize|down , predicted 1st: create|resource
Original: copy , predicted 1st: copy
Original: get|ssl|configuration|file , predicted 1st: get|default|file|configuration
Original: get|file|block|locations , predicted 1st: get|resource|file
Original: next , predicted 1st: get|file
Original: get|snapshot , predicted 1st: get|snapshot
Original: get|reader , predicted 1st: get|reader
Original: get|default|host , predicted 1st: get|default|host
Original: compute|steady|shares , predicted 1st: 
Original: get|storage|directory , predicted 1st: get
Original: read|file , predicted 1st: read
Original: sort|in|descending|order , predicted 1st: sort
Original: compare , predicted 1st: compare|to
Original: main , predicted 1st: main
Original: get|expected|data|size , predicted 1st: get|data|data|size
Original: set|working|directory , predicted 1st: set|directory
Original: get|snapshottable|dir|listing , predicted 1st: get|copyright
Original: get|job|name , predicted 1st: get|last|empty|name
Original: new|ha|configuration , predicted 1st: get|task
Original: get|file|visibilities , predicted 1st: get
Original: post|head , predicted 1st: configure
Original: to|stack|trace , predicted 1st: print|error
Original: create|scheduling|request|existing|application , predicted 1st: add
Original: get|total|pending|requests , predicted 1st: get|resource|resource|resource
Original: get|registration , predicted 1st: get|registration
Original: get|child|queues , predicted 1st: get|child
Original: set|compress|output , predicted 1st: set|output|output
Original: anonymize , predicted 1st: get
Original: get|under|replicated|blocks|count , predicted 1st: get|blocks|count
Original: create|file|system|internal , predicted 1st: get|file
Original: run , predicted 1st: get|system|file
Original: cache|groups|refresh , predicted 1st: close
Original: get|snapshot|by|id , predicted 1st: get
Original: set|target|path|exists , predicted 1st: test|exists
Original: get|index|info , predicted 1st: get|index
Original: stop , predicted 1st: test|thread|thread
Original: search|index , predicted 1st: search
Original: get|password , predicted 1st: get|password
Original: verify|diskspace|quota , predicted 1st: set
Original: add|application|attempt , predicted 1st: handle|session
Original: create|key , predicted 1st: create
Original: test|glob|status|filter|with|multiple|wild|card|matches|and|trivial|filter , predicted 1st: test|path
Original: test|glob|status|filter|with|no|matching|paths|and|non|trivial|filter , predicted 1st: test|get|root|path
Original: get|available|virtual|memory|size , predicted 1st: get|long
Original: compute , predicted 1st: do|get
Original: set|version|id , predicted 1st: set|version|id
Original: arraycopy , predicted 1st: set
Original: pack|attributes , predicted 1st: get|attribute
Original: get|http|client|scheme , predicted 1st: get|http|http|policy
Original: set|blocking , predicted 1st: set|blocking
Original: get|work|path , predicted 1st: get|task|path
Original: set|receive|buffer|size , predicted 1st: set|size|size
Original: check|if|am|resource|usage|over|limit , predicted 1st: is|resource
Original: create|file|system , predicted 1st: create|system|file|system
Original: rename , predicted 1st: do|rename
Original: do|call , predicted 1st: rename
Original: next , predicted 1st: do|call
Original: handle|kind , predicted 1st: is|kind
Original: get|encrypted|data|encryption|key , predicted 1st: get
Original: get|num|lost|jobs , predicted 1st: get|total|total|total|total
Original: test|create|flag|append|existing|file , predicted 1st: test|get|root|content
Original: get|avail|node|capacity , predicted 1st: get|node|node
Original: recover , predicted 1st: state
Original: get|link|target , predicted 1st: get|target|link
Original: get|used|memory|fraction , predicted 1st: get|fraction
Original: target|to|data , predicted 1st: get|byte
Original: get|exec|string , predicted 1st: get|path
Original: add|child , predicted 1st: add
Original: set , predicted 1st: foo
Original: write|chunk , predicted 1st: write
Original: primitive|create , predicted 1st: create|output|stream
Original: create|resource|request , predicted 1st: create|request
Original: is|in|progress , predicted 1st: is|valid
Original: set|copy|strategy , predicted 1st: set|copy|strategy
Original: main , predicted 1st: main
Original: get|test|root|path , predicted 1st: get|root|path
Original: get|config , predicted 1st: get
Original: create , predicted 1st: get|output|stream|stream
Original: do|call , predicted 1st: get|output|stream|stream
Original: next , predicted 1st: get|output|stream
Original: option|length , predicted 1st: get|option|length
Original: get|nn|service|rpc|addresses , predicted 1st: get|addresses|address
Original: terminate , predicted 1st: do|receive
Original: compare|to , predicted 1st: compare|to
Original: to|copy|listing|file|status , predicted 1st: get
Original: set|group , predicted 1st: set|group
Original: value , predicted 1st: get|finished
Original: get|log|file , predicted 1st: get|file|log
Original: process|job|state , predicted 1st: update|total
Original: is|in|sync , predicted 1st: is|in|sync
Original: write|read|and|delete , predicted 1st: write
Original: get|locations , predicted 1st: get
Original: rename , predicted 1st: assert|rename
Original: get|buffer|tree , predicted 1st: get
Original: is|auto|failover|enabled , predicted 1st: is|valid
Original: should|force|sync , predicted 1st: is|empty
Original: run , predicted 1st: get|test|data
Original: close|internal , predicted 1st: close
Original: get|current|buf , predicted 1st: get|current
Original: test|open , predicted 1st: test|get|file|status
Original: compare , predicted 1st: is|equals
Original: too|long|since|last|load , predicted 1st: is
Original: list|corrupt|file|blocks , predicted 1st: create|file
Original: get|source|paths , predicted 1st: get|source|paths
Original: add|cache|directive , predicted 1st: add|cache|cache
Original: write , predicted 1st: write|to
Original: write|file , predicted 1st: write
Original: read , predicted 1st: read
Original: get|cpu|usage , predicted 1st: get|float
Original: contains|path , predicted 1st: get|path
Original: check|if|am|resource|usage|over|limit , predicted 1st: is|in|resource
Original: get|length , predicted 1st: get|length
Original: close , predicted 1st: close
Original: get|last|transaction|id , predicted 1st: get|last|transaction|id
Original: is|dir , predicted 1st: is
Original: get|target|path , predicted 1st: get|target|path
Original: diskspace|string , predicted 1st: get|help|path
Original: set|rm|context , predicted 1st: set|context
Original: serialize , predicted 1st: is|write|write
Original: attempt|scheduling , predicted 1st: set
Original: write , predicted 1st: write|to
Original: setup , predicted 1st: set|up
Original: get|default|file|system , predicted 1st: get|default|default
Original: add|notification|socket , predicted 1st: add|notification
Original: test|delete|non|existing|directory , predicted 1st: test|delete
Original: get|secondary|name|node|addresses , predicted 1st: get|addresses|address
Original: set|version|info , predicted 1st: set|version|info
Original: set|clock , predicted 1st: set
Original: get|name , predicted 1st: get|hash|code
Original: test|set|owner , predicted 1st: test|get|root
Original: get|name , predicted 1st: get|name|name
Original: test|output|stream|closed|twice , predicted 1st: test|get|root|path
Original: should|emulate|dist|cache|load , predicted 1st: is|cache
Original: get|default|working|directory , predicted 1st: get|root|path
Original: get|current|key , predicted 1st: get|current|key
Original: cancel , predicted 1st: set|last
Original: add , predicted 1st: add
Original: compute|content|summary , predicted 1st: create|summary
Original: get|max|resources|fraction , predicted 1st: get|max
Original: is|directory , predicted 1st: is
Original: test|null|create|flag , predicted 1st: test|get|root|path
Original: parse|timestamps , predicted 1st: parse|long
Original: set|x|attr , predicted 1st: do|resolve
Original: do|call , predicted 1st: do|get
Original: next , predicted 1st: set|x
Original: init|scheduler , predicted 1st: set|up
Original: reset , predicted 1st: foo
Original: run , predicted 1st: run
Original: url|get , predicted 1st: get|url|url
Original: test|create|file , predicted 1st: test|path
Original: wait|replication , predicted 1st: test
Original: check|file|link|status , predicted 1st: check|file
Original: get|generation|stamp , predicted 1st: get|generation|stamp
Original: rename , predicted 1st: rename
Original: test|modification|time , predicted 1st: test|get|file|time
Original: set|permission , predicted 1st: set|permission
Original: setup , predicted 1st: set|up
Original: get|preemption|enabled , predicted 1st: is
Original: application|attempt|finished , predicted 1st: run
Original: return|buffer , predicted 1st: add
Original: set|conf , predicted 1st: set
Original: option|length , predicted 1st: get|option|length
Original: negation , predicted 1st: foo
Original: get , predicted 1st: 
Original: test|glob|status|non|existent|file , predicted 1st: test|get|root|path
Original: set|input|paths , predicted 1st: set|input|paths
Original: get|next|file|name , predicted 1st: get|file|name
Original: accept , predicted 1st: get
Original: open , predicted 1st: get|input|stream
Original: do|call , predicted 1st: do|get|input|stream
Original: next , predicted 1st: open
Original: get|file|checksum , predicted 1st: get|file
Original: do|call , predicted 1st: get|file
Original: next , predicted 1st: get|file
Original: init , predicted 1st: get
Original: get|file|id , predicted 1st: get|file|id
Original: set|log|level|all , predicted 1st: set
Original: rename , predicted 1st: do|rename
Original: next , predicted 1st: rename
