Original: get|min|height , predicted 1st: get|min|height
Original: set|rb|a|frame , predicted 1st: set|float|data
Original: get|c|ptr , predicted 1st: get
Original: set|extents , predicted 1st: set
Original: create|entry , predicted 1st: create|entry
Original: create|entry , predicted 1st: create|entry|data
Original: set|user|pointer , predicted 1st: set|user
Original: get|vertices , predicted 1st: get
Original: collide|kdop , predicted 1st: 
Original: create|entry , predicted 1st: create|entry
Original: needs|broadphase|collision , predicted 1st: is|proxy|proxy
Original: get|ray|test|stack , predicted 1st: test
Original: delete , predicted 1st: delete
Original: get|count , predicted 1st: get|jdbc|cache
Original: set|vertex|base , predicted 1st: set
Original: get|c|ptr , predicted 1st: get
Original: swig|release|ownership , predicted 1st: test
Original: set , predicted 1st: set|tag
Original: get|limit|softness , predicted 1st: get|double|data
Original: set|node|bound , predicted 1st: set
Original: calculate|combined|friction , predicted 1st: do|start|body
Original: set|target|velocity , predicted 1st: set
Original: refresh|contact|points , predicted 1st: test|refresh
Original: get|spring|stiffness , predicted 1st: get
Original: get|linear|spring|damping , predicted 1st: 
Original: get|param , predicted 1st: get|constraint|constraint
Original: set|linear|lower|limit , predicted 1st: 
Original: set|linear|enable|spring , predicted 1st: set
Original: get|world|type , predicted 1st: get
Original: set|data|as|int , predicted 1st: set
Original: get|height , predicted 1st: get
Original: delete , predicted 1st: delete
Original: set|damping , predicted 1st: set
Original: get|angular|lower|limit , predicted 1st: double
Original: delete , predicted 1st: delete
Original: set|angular|max|motor|force , predicted 1st: set
Original: add|collision|object , predicted 1st: add
Original: set|degenerate|simplex , predicted 1st: 
Original: is|active , predicted 1st: is
Original: delete , predicted 1st: delete
Original: get|limit|motor|info , predicted 1st: 
Original: get|linear|spring|stiffness , predicted 1st: 
Original: create|entry , predicted 1st: create|entry
Original: get|type|constraint|data , predicted 1st: get|data|data
Original: set|shape , predicted 1st: set
Original: remove|character , predicted 1st: set
Original: get|fixedleft , predicted 1st: get
Original: set|local|scaling , predicted 1st: 
Original: set|angular|spring|stiffness , predicted 1st: set
Original: get|c|ptr , predicted 1st: get|obj
Original: set|erp , predicted 1st: set|float
Original: get|center|of|mass|offset , predicted 1st: get
Original: set|type|constraint|data , predicted 1st: set|data
Original: delete , predicted 1st: delete
Original: add|constraint , predicted 1st: add|constraint
Original: get|right|node , predicted 1st: get
Original: get|c|ptr , predicted 1st: get|double
Original: get|solve|swing|limit , predicted 1st: get
Original: set|tau , predicted 1st: set|double
Original: set|angular|spring|stiffness , predicted 1st: 
Original: get|swing|span , predicted 1st: get|double|double
Original: get|position|world|on|b , predicted 1st: 
Original: get|prev , predicted 1st: get|link
Original: get|child|shape , predicted 1st: 
Original: get|start|world|trans , predicted 1st: set
Original: set|spring|damping , predicted 1st: set
Original: set|hash , predicted 1st: set
Original: get|parent , predicted 1st: get|internal
Original: obtain , predicted 1st: get
Original: set|max|motor|force , predicted 1st: 
Original: debug|draw|world , predicted 1st: stop
Original: get|margin|nv , predicted 1st: get
Original: get|mesh|interface , predicted 1st: 
Original: set|rb|b|frame , predicted 1st: set|double|double
Original: get|linear|servo|target , predicted 1st: 
Original: set|angular|spring|stiffness|limited , predicted 1st: set
Original: get|radius , predicted 1st: get
Original: get|overlapping|pair|array|ptr , predicted 1st: get
Original: delete , predicted 1st: delete
Original: reset , predicted 1st: reset
Original: set|rhs , predicted 1st: set|row|span
Original: count|leaves , predicted 1st: node|count
Original: set|solver|mode , predicted 1st: set|weight
Original: set|max|motor|impulse , predicted 1st: set
Original: get|child , predicted 1st: get
Original: get|manifold|ptr , predicted 1st: 
Original: benchmark , predicted 1st: 
Original: set|fix|contact|normal|direction , predicted 1st: add
Original: process|triangle , predicted 1st: 
Original: get|relaxation|factor , predicted 1st: get|double|data
Original: set|convex|convex|multipoint|iterations , predicted 1st: set|minimum|threshold
Original: get|limit|motor|info , predicted 1st: 
Original: add|rigid|body , predicted 1st: add
Original: set|minimum|solver|batch|size , predicted 1st: set|data
Original: draw|arc , predicted 1st: draw
Original: set|rb|b|frame , predicted 1st: set|data|data
Original: get|c|ptr , predicted 1st: get|obj
Original: set|linear|motor|erp , predicted 1st: set
Original: reset , predicted 1st: reset
Original: delete , predicted 1st: delete
Original: create|entry , predicted 1st: create|entry
Original: set|use|epa|penetration|algorithm , predicted 1st: set|number
Original: register|algorithm , predicted 1st: 
Original: internal|add|child|shape , predicted 1st: add|shape
Original: gem|element|size , predicted 1st: get|memory|pool
Original: set|limit , predicted 1st: set|column|limit
Original: get|split|impulse|turn|erp , predicted 1st: get
Original: create|entry , predicted 1st: create|entry
Original: get|gravity , predicted 1st: float
Original: set|angular|only , predicted 1st: set|double|data
Original: get|num|triangles , predicted 1st: get
Original: get|linear|upper|limit , predicted 1st: 
Original: get|c|ptr , predicted 1st: get
Original: set|free|nodes , predicted 1st: set|memory|pool
Original: create|entry , predicted 1st: create|entry
Original: set|enable|angular|motor , predicted 1st: set|double|data
Original: draw|arc , predicted 1st: draw
Original: portable|string|compare , predicted 1st: get
Original: get|c|ptr , predicted 1st: get|obj
Original: get|info|non|virtual , predicted 1st: 
Original: get|translational|limit|motor , predicted 1st: get
Original: get|bounding|sphere , predicted 1st: set
Original: get|num|overlapping|objects , predicted 1st: get
Original: get|c|ptr , predicted 1st: get|primary|key
Original: set|graphics|world|trans , predicted 1st: set
Original: set|angular|lower|limit , predicted 1st: set
Original: delete , predicted 1st: delete
Original: get|angular|lower|limit|reversed , predicted 1st: 
Original: get|escape|node|index , predicted 1st: 
Original: create|entry , predicted 1st: create|entry
Original: collide|kdop , predicted 1st: 
Original: get|collision|shape , predicted 1st: get
Original: get|angular|stop|cfm , predicted 1st: 
Original: get|rb|b|frame , predicted 1st: get|double|double
Original: get|leaf , predicted 1st: get
Original: get|conservative|separating|distance , predicted 1st: 
Original: set|limit|softness , predicted 1st: set|double|double
Original: set|name , predicted 1st: set|data
Original: get|child|shape , predicted 1st: 
Original: get|part , predicted 1st: 
Original: get|tau , predicted 1st: get
Original: create|entry , predicted 1st: create|entry
Original: convex|sweep|test , predicted 1st: 
Original: get|minimum|solver|batch|size , predicted 1st: get
Original: get|allocated|count , predicted 1st: get|memory|pool
Original: set|angular|upper|limit , predicted 1st: set
Original: get|c|ptr , predicted 1st: get
Original: swig|take|ownership , predicted 1st: test
Original: get|use|frame|offset , predicted 1st: is
Original: get|child , predicted 1st: get
Original: contact|pair|test , predicted 1st: set|result
Original: get|material|stride , predicted 1st: get
Original: is|polyhedral , predicted 1st: is
Original: get|stage , predicted 1st: get
Original: get|node|count , predicted 1st: 
Original: create|entry , predicted 1st: create|entry
Original: create|entry , predicted 1st: create|entry
Original: create|entry , predicted 1st: create|entry
Original: set|tau , predicted 1st: set|data
Original: delete , predicted 1st: delete
Original: get|use|solve|constraint|obsolete , predicted 1st: is
Original: get|enable|angular|motor , predicted 1st: get|double|data
Original: set|upper|limit , predicted 1st: set|float|float
Original: get|rb|b|frame , predicted 1st: get|data|data
Original: set|indices , predicted 1st: index|index
Original: swig|constructbt|convex|hull|shape , predicted 1st: 
Original: create|entry , predicted 1st: create|entry
Original: add|tail , predicted 1st: add|link
Original: activate , predicted 1st: set
Original: get|world|user|info , predicted 1st: get
Original: get|stage|current , predicted 1st: 
Original: create|entry , predicted 1st: create|entry
Original: get|friction , predicted 1st: get
Original: set|relaxation|factor , predicted 1st: set|double|double
Original: create|entry , predicted 1st: create|entry
Original: set|rb|a|frame , predicted 1st: set
Original: get|padding , predicted 1st: get
Original: get|type|constraint|data , predicted 1st: get|data|data
Original: delete , predicted 1st: delete
Original: get|island|tag , predicted 1st: get
Original: set|contact|motion , predicted 1st: set
Original: set|angular|lower|limit , predicted 1st: set|data
Original: calculate|transforms , predicted 1st: test
Original: set|linear|enable|motor , predicted 1st: set
Original: set|cur|iter , predicted 1st: 
Original: set|contact|cfm , predicted 1st: set
Original: set|damping , predicted 1st: 
Original: create|entry , predicted 1st: create|entry
Original: clear , predicted 1st: clear
Original: get|solver|type , predicted 1st: get
Original: set|use|linear|reference|frame|a , predicted 1st: set|double
Original: get|max|error|reduction , predicted 1st: get
Original: set|penetration|depth|solver , predicted 1st: set
Original: get|angular|servo|target , predicted 1st: 
Original: get|c|ptr , predicted 1st: get
Original: set|split|impulse|penetration|threshold , predicted 1st: set|float
Original: get|relative|pivot|position , predicted 1st: get
Original: get|pid , predicted 1st: get
Original: create|entry , predicted 1st: create|entry
Original: get|c|ptr , predicted 1st: get
Original: reset , predicted 1st: reset
Original: get|updates|ratio , predicted 1st: 
Original: set|damping , predicted 1st: 
Original: set|cupdates , predicted 1st: set
Original: set|allocated|sizes , predicted 1st: set|memory|pool
Original: get|c|ptr , predicted 1st: get|obj
Original: set|angular|servo|target , predicted 1st: set
Original: set|world|transform , predicted 1st: set
Original: set|synchronize|all|motion|states , predicted 1st: set
Original: get|bullet|tetrahedron , predicted 1st: 
Original: get|single|axis|rolling|friction|threshold , predicted 1st: get
Original: set|broadphase , predicted 1st: set
Original: get|up|axis , predicted 1st: get
Original: box|query , predicted 1st: is
Original: create|entry , predicted 1st: create|entry
Original: set|global|cfm , predicted 1st: set|float
Original: delete , predicted 1st: delete
Original: is|leaf|node , predicted 1st: 
Original: calc|pen|depth , predicted 1st: 
Original: init|separating|distance , predicted 1st: 
Original: set|enable|angular|motor , predicted 1st: set|double|data
Original: get|vertices , predicted 1st: 
Original: draw|contact|point , predicted 1st: draw
Original: get|c|ptr , predicted 1st: get|obj
Original: process|collision , predicted 1st: visit
Original: delete , predicted 1st: delete
Original: draw|sphere|patch , predicted 1st: draw
Original: get|rb|b|frame , predicted 1st: get|double|double
Original: set|erp , predicted 1st: set|float
Original: reset , predicted 1st: reset
Original: create|entry , predicted 1st: create|entry
Original: set|part|id , predicted 1st: set|key
Original: get|uid , predicted 1st: get
Original: get|linear|servo|motor , predicted 1st: get
Original: set|vertices|f , predicted 1st: set|data
Original: get|padding , predicted 1st: get
Original: set|angular|upper|limit , predicted 1st: 
Original: get|data|as|int , predicted 1st: get
Original: get|c|ptr , predicted 1st: get
Original: set|implicit|shape|dimensions , predicted 1st: set
Original: set|user|pointer , predicted 1st: set|user
Original: set|primitive|manager , predicted 1st: set
Original: get|c|ptr , predicted 1st: get
Original: set|padding , predicted 1st: set
Original: create|entry , predicted 1st: create|entry
Original: get|sor , predicted 1st: get
Original: create|entry , predicted 1st: create|entry
Original: reset , predicted 1st: reset
Original: get|angular|max|motor|force , predicted 1st: 
Original: reset , predicted 1st: reset
Original: create|entry , predicted 1st: create|entry
Original: get|node|triangle , predicted 1st: 
Original: get|linear|motor|erp , predicted 1st: 
Original: get|c|ptr , predicted 1st: get
Original: create|entry , predicted 1st: create|entry
Original: get|num|bvhs , predicted 1st: get
Original: space , predicted 1st: space|space
Original: add|point , predicted 1st: add
Original: get|pref|height|value , predicted 1st: get|height
Original: create|entry , predicted 1st: create|entry
Original: set|rb|b , predicted 1st: set|double|double
Original: set|rb|a , predicted 1st: set|double|double
Original: order , predicted 1st: get|byte|order
Original: swap , predicted 1st: add
Original: get|max|height , predicted 1st: get|max|height
Original: create|entry , predicted 1st: create|entry
Original: create|entry , predicted 1st: create|entry
Original: set|suspension|stiffness , predicted 1st: info|info|info
Original: get|me , predicted 1st: run
Original: get|space|left , predicted 1st: get|left|space
Original: get|rigid|body|by|name , predicted 1st: get
Original: obtain|static|shape , predicted 1st: get
Original: get|wheels|damping|compression , predicted 1st: 
Original: set|checked , predicted 1st: set|text
Original: get|c|ptr , predicted 1st: get
Original: rotate , predicted 1st: set|first
Original: with , predicted 1st: byte|array|array
Original: contains , predicted 1st: is
Original: approximate , predicted 1st: 
Original: create|entry , predicted 1st: create|entry
Original: set|rb|a , predicted 1st: set|float|float
Original: is|over , predicted 1st: is
Original: set|object|type , predicted 1st: set|double|double
Original: update|closest|vector|and|points , predicted 1st: is
Original: add|single|result , predicted 1st: process
Original: slice , predicted 1st: get|sequence
Original: get|max|suspension|force , predicted 1st: get|max|number
Original: set|chassis|connection|point|cs , predicted 1st: 
Original: get|button , predicted 1st: get|button
Original: contains , predicted 1st: is
Original: create|entry , predicted 1st: create|entry
Original: get|point|states , predicted 1st: collect|state
Original: new|int|buffer , predicted 1st: get|int|write|write|array
Original: set|title , predicted 1st: set|title
Original: construct , predicted 1st: reset
Original: height , predicted 1st: set|height
Original: get|is|enabled , predicted 1st: get|double|double|double
Original: get|max|width|value , predicted 1st: get|max|width
Original: create|entry , predicted 1st: create|entry
Original: remove , predicted 1st: remove
Original: reallocate|buffer , predicted 1st: set|buffer
Original: construct , predicted 1st: transform
Original: point|outside|of|plane , predicted 1st: 
Original: put , predicted 1st: set
Original: delete , predicted 1st: delete
Original: begin|pass , predicted 1st: set
Original: get|fill|y , predicted 1st: get|y|y
Original: set|name , predicted 1st: set|double|double
Original: get|user|constraint|type , predicted 1st: get|user|data
Original: get|declared|field , predicted 1st: create|field
Original: create|entry , predicted 1st: create|entry
Original: x , predicted 1st: 
Original: set|cached|bc , predicted 1st: set
Original: new|float|buffer , predicted 1st: to|float|array
Original: delete , predicted 1st: delete
Original: set|client|info , predicted 1st: info|info|info
Original: index|of , predicted 1st: get
Original: set|brake , predicted 1st: set
Original: read|line , predicted 1st: to|string
Original: build|jacobian , predicted 1st: test
Original: long|press , predicted 1st: is|equal
Original: create|entry , predicted 1st: create|entry
Original: de|serialize|double , predicted 1st: serialize|double|double
Original: get|bvh|by|index , predicted 1st: get
Original: write , predicted 1st: write
Original: needs|collision , predicted 1st: is|proxy
Original: get|wheel|axle|cs , predicted 1st: 
Original: get|c|ptr , predicted 1st: get|obj
Original: get , predicted 1st: get
Original: mark , predicted 1st: set|mark
Original: create|entry , predicted 1st: create|entry
Original: last|index|of , predicted 1st: get
Original: drain , predicted 1st: write
Original: create|entry , predicted 1st: create|entry
Original: create|gear|constraint , predicted 1st: create
Original: touch|dragged , predicted 1st: set
Original: get|c|ptr , predicted 1st: get|float
Original: get|space|top , predicted 1st: get|space|space
Original: get|values|x , predicted 1st: get|values
Original: touch|down , predicted 1st: run
Original: remove|all , predicted 1st: is
Original: rotate , predicted 1st: transform
Original: de|serialize|float , predicted 1st: serialize|float|float
Original: points|changed , predicted 1st: method
Original: scrolled , predicted 1st: is
Original: create|entry , predicted 1st: create|entry
Original: set|upper|limit , predicted 1st: set|max
Original: create|loop , predicted 1st: create|entry
Original: set|disable|collisions|between|linked|bodies , predicted 1st: set|data|data
Original: put , predicted 1st: put
Original: is|over , predicted 1st: 
Original: create|convex|triangle|mesh|shape , predicted 1st: create
Original: test|point , predicted 1st: is
Original: get|cause , predicted 1st: get|exception
Original: is|over , predicted 1st: is
Original: get|c|ptr , predicted 1st: get|obj
Original: loadnext , predicted 1st: test|test
Original: test|set , predicted 1st: test|set
Original: max|height , predicted 1st: max|max|height
Original: solve|constraint|obsolete , predicted 1st: visit|constraint|constraint
Original: empty|simplex , predicted 1st: is
Original: can|check , predicted 1st: update
Original: set|max|suspension|force , predicted 1st: info|info|info
Original: create|entry , predicted 1st: create|entry
Original: set|needs|update , predicted 1st: 
Original: create|convex|hull|shape , predicted 1st: create
Original: get|space|right|value , predicted 1st: get|right|space
Original: touch|up , predicted 1st: is|visible
Original: array , predicted 1st: get|array
Original: cross , predicted 1st: 
Original: set|is|enabled , predicted 1st: set|float|float
Original: sort , predicted 1st: sort
Original: uniform|x , predicted 1st: 
Original: is|assignable|from , predicted 1st: is|assignable
Original: get|delta|rotation , predicted 1st: 
Original: left , predicted 1st: get
Original: create|entry , predicted 1st: create|entry
Original: delete , predicted 1st: delete
Original: set|friction|slip , predicted 1st: 
Original: create|entry , predicted 1st: create|entry
Original: create|entry , predicted 1st: create|entry
Original: translate , predicted 1st: add
Original: create|sphere|shape , predicted 1st: create
Original: evaluate , predicted 1st: visit
Original: key|down , predicted 1st: is|available
Original: compute|aabb , predicted 1st: transform
Original: delete , predicted 1st: delete
Original: create|entry , predicted 1st: create|entry
Original: obtain|static|node|shape , predicted 1st: transform
Original: get|constraint|by|name , predicted 1st: get
Original: get|space|bottom , predicted 1st: get|space|space
Original: sub|sequence , predicted 1st: get|result
Original: delete , predicted 1st: delete
Original: find|binary|search , predicted 1st: get|binary|binary
Original: enter , predicted 1st: input
Original: get|debug|mode , predicted 1st: get|debug|mode
Original: get|child|edge , predicted 1st: 
Original: pop , predicted 1st: get|size
Original: get , predicted 1st: write
Original: get|table , predicted 1st: get|table
Original: normalized , predicted 1st: 
Original: add|all , predicted 1st: add|all
Original: set|value , predicted 1st: set
Original: position , predicted 1st: set
Original: reset|capacity , predicted 1st: reset
Original: create|entry , predicted 1st: create|entry
Original: w , predicted 1st: 
Original: main , predicted 1st: test
Original: value|at , predicted 1st: 
Original: fill|y , predicted 1st: set
Original: touch|dragged , predicted 1st: process
Original: get|methods , predicted 1st: get|all|methods
Original: create|entry , predicted 1st: create|entry
Original: at , predicted 1st: 
Original: touch|down , predicted 1st: is
Original: serialize , predicted 1st: get|serializable
Original: is|obtained , predicted 1st: is
Original: get|dbg|draw|size , predicted 1st: get|float|float|float
Original: create|entry , predicted 1st: create|entry
Original: set|ray|from|world , predicted 1st: set|result
Original: get|w , predicted 1st: get
Original: get|brake , predicted 1st: get
Original: set|programmatic|change|events , predicted 1st: set|change|change
Original: new|short|buffer , predicted 1st: get|write|buffer|buffer|array
Original: get|cached|valid|closest , predicted 1st: is
Original: set|hit|point|world , predicted 1st: set|result
Original: invalidate|tap|square , predicted 1st: run
Original: flush , predicted 1st: flush
Original: get|needs|feedback , predicted 1st: get|double|double|double
Original: set|actor|y , predicted 1st: set|y
Original: de|serialize , predicted 1st: serialize
Original: add|all , predicted 1st: add|all|array
Original: get|space|right , predicted 1st: get|space
Original: create|entry , predicted 1st: create|entry
Original: new|default|target , predicted 1st: get|target
Original: rotate , predicted 1st: set
Original: set|world|transform , predicted 1st: run
Original: get|c|ptr , predicted 1st: get
Original: bench|double , predicted 1st: test|buffer
Original: get|suspension|stiffness , predicted 1st: get|info
Original: get|field , predicted 1st: create|field
Original: get|values|y , predicted 1st: get|values
Original: new|int|buffer , predicted 1st: get|int|write|write|write|array
Original: reverse , predicted 1st: test
Original: set|hit|point|world , predicted 1st: set|result
Original: length , predicted 1st: 
Original: rotate , predicted 1st: set|first
Original: order , predicted 1st: get|byte|byte|byte
Original: new|char|buffer , predicted 1st: to|array|array
Original: get|convex|from|world , predicted 1st: 
Original: get|object|type , predicted 1st: get|double|double|double
Original: set|dbg|draw|size , predicted 1st: set|size
Original: create|entry , predicted 1st: create|entry
Original: expand|y , predicted 1st: 
Original: reset , predicted 1st: reset
Original: max|size , predicted 1st: set|max|size
Original: evaluate , predicted 1st: 
Original: pref|size , predicted 1st: set|width
Original: create|world , predicted 1st: create
Original: create|entry , predicted 1st: create|entry
Original: dispose , predicted 1st: dispose|info
Original: set|equal|vertex|threshold , predicted 1st: 
Original: pref|size , predicted 1st: set|size
Original: set|wheel|axle|cs , predicted 1st: set
Original: compare|to , predicted 1st: byte|to|byte
Original: get|suspension|rest|length , predicted 1st: get|info
Original: clear , predicted 1st: reset
Original: array , predicted 1st: get|array
Original: available , predicted 1st: count
Original: get|chassis|connection|cs , predicted 1st: 
Original: get|angle , predicted 1st: get
Original: set|min , predicted 1st: set|min
Original: get|rb|b , predicted 1st: get|float|float
Original: key|down , predicted 1st: is
Original: get|column , predicted 1st: get|column
Original: get|c|ptr , predicted 1st: get
Original: set|param , predicted 1st: set|param
Original: get|clipped|inv|contact|dot|suspension , predicted 1st: get
Original: fill , predicted 1st: set|fill|fill
Original: has|actor , predicted 1st: is
Original: set|suspension|relative|velocity , predicted 1st: set|value
Original: reset , predicted 1st: mark
Original: remove , predicted 1st: remove
Original: create|entry , predicted 1st: create|entry
Original: wrap , predicted 1st: new|buffer
Original: add|configurations , predicted 1st: write
Original: set|expanded , predicted 1st: set|expanded
Original: bench|byte , predicted 1st: test|buffer
Original: create , predicted 1st: test|array|array
Original: create|cone|twist|constraint , predicted 1st: create
Original: slice , predicted 1st: to|buffer
Original: row , predicted 1st: run
Original: get|num|elements , predicted 1st: get
Original: ensure|capacity , predicted 1st: set|current
Original: create|entry , predicted 1st: create|entry
Original: get|pref|width|value , predicted 1st: get|width
Original: get|user|constraint|type , predicted 1st: get|float|float|float
Original: get|vertex|offset , predicted 1st: get|descriptor
Original: incr , predicted 1st: set
Original: create|entry , predicted 1st: create|entry
Original: mark , predicted 1st: set|mark
Original: get|style , predicted 1st: get|style
Original: create|entry , predicted 1st: create|entry
Original: set|wheels|suspension|force , predicted 1st: 
Original: limit , predicted 1st: set
Original: create|scaled|trangle|mesh|shape , predicted 1st: create
Original: create|entry , predicted 1st: create|entry
Original: for|name , predicted 1st: get|class
Original: uniform|y , predicted 1st: 
Original: uncheck|all , predicted 1st: test|min|count
Original: delete , predicted 1st: delete
Original: get|is|enabled , predicted 1st: get|float|float|float
Original: create|entry , predicted 1st: create|entry
Original: lerp , predicted 1st: 
Original: set|debug|mode , predicted 1st: set|debug|mode
Original: create|collision|object , predicted 1st: create
Original: serialize|float , predicted 1st: serialize|float|float
Original: get|floats , predicted 1st: get
Original: derivative|at , predicted 1st: 
Original: put , predicted 1st: put
Original: set|y , predicted 1st: set|y
Original: get|c|ptr , predicted 1st: get
Original: create|entry , predicted 1st: create|entry
Original: reallocate|buffer , predicted 1st: to|new
Original: calc|normal , predicted 1st: 
Original: create|entry , predicted 1st: create|entry
Original: get|wheels|radius , predicted 1st: 
Original: create|entry , predicted 1st: create|entry
Original: get|max|suspension|travel|cm , predicted 1st: get|max|number
Original: pop , predicted 1st: 
Original: calculate|serialize|buffer|size , predicted 1st: get|column|column
Original: create|entry , predicted 1st: create|entry
Original: expand , predicted 1st: 
Original: put , predicted 1st: char|char
Original: add|build|script , predicted 1st: write
Original: set|used|vertex|c , predicted 1st: set|usage
Original: next , predicted 1st: set|up
Original: create|entry , predicted 1st: create|entry
Original: get|b|is|front|wheel , predicted 1st: is
Original: approximate , predicted 1st: count
Original: init , predicted 1st: init
Original: set|object|type , predicted 1st: set|float|float
Original: random , predicted 1st: random
Original: begin|pass , predicted 1st: reset
Original: create|triangle|mesh|container , predicted 1st: create
Original: get|triangle|info|map|by|index , predicted 1st: get
Original: create|entry , predicted 1st: create|entry
Original: pref|height , predicted 1st: set|height
Original: add|dependencies , predicted 1st: write|dependency
Original: apply|transform , predicted 1st: apply
Original: process|triangle , predicted 1st: 
Original: test|map , predicted 1st: test|map
Original: init , predicted 1st: init
Original: delete , predicted 1st: delete
Original: set|allowed|penetration , predicted 1st: 
Original: set|cached|v , predicted 1st: set
Original: set|style , predicted 1st: set|style|style
Original: set|wheels|radius , predicted 1st: 
Original: create|entry , predicted 1st: create|entry
Original: set|wheel|axle|cs , predicted 1st: 
Original: create|entry , predicted 1st: create|entry
Original: fuzzy|zero , predicted 1st: is
Original: get|num|rigid|bodies , predicted 1st: get
Original: rotate , predicted 1st: set
Original: draw , predicted 1st: paint
Original: look|at , predicted 1st: create|entry
Original: pref|width , predicted 1st: set|width
Original: is|first|call|pass , predicted 1st: is|first
Original: set|needs|feedback , predicted 1st: set|data|number
Original: get|pad|right|value , predicted 1st: get|right
Original: set|floats , predicted 1st: set
Original: init , predicted 1st: init
Original: set|style , predicted 1st: set|style
Original: put , predicted 1st: get|byte
Original: dispose , predicted 1st: dispose
Original: shuffle , predicted 1st: test
Original: space|right , predicted 1st: space|space
Original: is|array , predicted 1st: is|array
Original: insert , predicted 1st: set
Original: set|cached|valid|closest , predicted 1st: set
Original: before|group , predicted 1st: clear
Original: is|pressed , predicted 1st: is|vertical
Original: get|c|ptr , predicted 1st: get|obj
Original: get|rb|a , predicted 1st: get|float|float
Original: get|equal|vertex|threshold , predicted 1st: 
Original: is|disposed , predicted 1st: is|disposed
Original: get|declared|annotation , predicted 1st: find|annotation
Original: get|num|constraints , predicted 1st: get
Original: create|entry , predicted 1st: create|entry
Original: dispose , predicted 1st: dispose
Original: get|image|cell , predicted 1st: get|cell|cell
Original: get|z , predicted 1st: get
Original: size , predicted 1st: size
Original: width , predicted 1st: set|width
Original: create , predicted 1st: test|double
Original: resolve , predicted 1st: get|file|handle
Original: create|mesh|interface , predicted 1st: create
Original: z , predicted 1st: 
Original: get|convex|to|world , predicted 1st: 
Original: space|right , predicted 1st: space
Original: set|max|suspension|force , predicted 1st: set|max|number
Original: set|name , predicted 1st: set|data|data|name
Original: get|angle , predicted 1st: get
Original: get|disable|collisions|between|linked|bodies , predicted 1st: get|float|float|float
Original: set|wheel|direction|cs , predicted 1st: set
Original: set|simplex|points|q , predicted 1st: 
Original: create|entry , predicted 1st: create|entry
Original: get|c|ptr , predicted 1st: get|primary|key
Original: zoom , predicted 1st: add
Original: get|breaking|impulse|threshold , predicted 1st: get
Original: remove , predicted 1st: remove|button
Original: create|world , predicted 1st: test
Original: create|entry , predicted 1st: create|entry
Original: create|compound|shape , predicted 1st: create
Original: set|x , predicted 1st: set|x
Original: derivative|at , predicted 1st: 
Original: add , predicted 1st: add
Original: create|entry , predicted 1st: create|entry
Original: set|zero , predicted 1st: set
Original: has|normals , predicted 1st: is
Original: is|instance , predicted 1st: is|instance
Original: set|disable|collisions|between|linked|bodies , predicted 1st: set|double|double
Original: get|needs|feedback , predicted 1st: get|float|float|float
Original: setup|solver|constraint , predicted 1st: set|jdbc|pre
Original: reset , predicted 1st: reset
Original: allocate , predicted 1st: set
Original: get|last|w , predicted 1st: 
Original: add , predicted 1st: set|value
Original: render , predicted 1st: render
Original: translate , predicted 1st: add
Original: create|entry , predicted 1st: create|entry
Original: get|vertex|ptr , predicted 1st: get
Original: after|group , predicted 1st: set|group
Original: create|cylinder|shape|x , predicted 1st: create
Original: get|unused , predicted 1st: get
Original: unproject , predicted 1st: get
Original: create|entry , predicted 1st: create|entry
Original: set|rb|b , predicted 1st: set|data|data
Original: create|cone|twist|constraint , predicted 1st: create
Original: create|entry , predicted 1st: create|entry
Original: pad|right , predicted 1st: right
Original: set|padding , predicted 1st: set|double|double
Original: get|plane|equation , predicted 1st: 
Original: order , predicted 1st: get|order|order
Original: set|checked , predicted 1st: set|change
Original: set|breaking|impulse|threshold , predicted 1st: set
Original: min|axis , predicted 1st: min
Original: is|disabled , predicted 1st: is|disabled
Original: create|entry , predicted 1st: create|entry
Original: get|wheel|direction|cs , predicted 1st: 
Original: swig|take|ownership , predicted 1st: test
Original: set|steering , predicted 1st: set
Original: get|used|vertex|b , predicted 1st: get
Original: find|max|separation , predicted 1st: to|shape
Original: pixel|to|point , predicted 1st: 
Original: derivative , predicted 1st: 
Original: reallocate|buffer , predicted 1st: write
Original: unproject , predicted 1st: 
Original: get|allowed|penetration , predicted 1st: 
Original: remove|vertex , predicted 1st: remove
Original: get|max|suspension|travel|cm , predicted 1st: get|info
Original: get|suspension|rest|length , predicted 1st: get
Original: add|all , predicted 1st: add|all
Original: get|override|num|solver|iterations , predicted 1st: get|float|float|float
Original: set|vertices , predicted 1st: set
Original: push|back , predicted 1st: push|numeric
Original: get|simplex|vector|w , predicted 1st: 
Original: pan|stop , predicted 1st: stop
Original: compact , predicted 1st: read|buffer
Original: set|roll|influence , predicted 1st: 
Original: get|uniform|y , predicted 1st: is|done
Original: set|radius , predicted 1st: set
Original: set|unused , predicted 1st: set|value
Original: create|entry , predicted 1st: create|entry
Original: get|shape|parts , predicted 1st: add|transform
Original: in|simplex , predicted 1st: 
Original: create , predicted 1st: create
Original: set|suspension|rest|length , predicted 1st: info|info|info
Original: char|at , predicted 1st: get
Original: reserve , predicted 1st: set
Original: get|buffer|type , predicted 1st: get|descriptor
Original: value|label , predicted 1st: get|value
Original: allocate , predicted 1st: new|byte
Original: delete , predicted 1st: delete
Original: get|breaking|impulse|threshold , predicted 1st: get|double|double|double
