Original: cols , predicted 1st: add|value
Original: set|size , predicted 1st: set|size
Original: write|primary|filter|entries , predicted 1st: add
Original: run , predicted 1st: create
Original: set|layers , predicted 1st: get|all
Original: set|minimum , predicted 1st: set|minimum
Original: get|type , predicted 1st: convert|to|convert
Original: set|task|type , predicted 1st: set|task|type
Original: to|json , predicted 1st: write
Original: dec|waiting|reduces , predicted 1st: set|num
Original: get|start|time|read|cache|size , predicted 1st: get
Original: filter|counter|name , predicted 1st: get|name
Original: get|failed|reduce|attempt|cdf , predicted 1st: get|failed|failed
Original: obtain|context , predicted 1st: get|context|context
Original: get|local|path , predicted 1st: convert|to|path
Original: get|job|counters , predicted 1st: get|current
Original: supports , predicted 1st: is
Original: set|map|tasks , predicted 1st: set|tasks|map
Original: assign|container , predicted 1st: get|parent
Original: get|delegation|token , predicted 1st: get|token
Original: main , predicted 1st: main
Original: get|relative|ranking , predicted 1st: get
Original: dump|a|container|logs , predicted 1st: get
Original: get|scheme , predicted 1st: get|name
Original: get|request , predicted 1st: get
Original: is|running , predicted 1st: is|alive
Original: get|storage|i|ds , predicted 1st: get|storage|storage
Original: set|container|id , predicted 1st: set|container|container|id
Original: get|key|provider , predicted 1st: get|extension|provider
Original: update|recommended|length , predicted 1st: get|size|size
Original: set|queue , predicted 1st: set|queue
Original: iterator , predicted 1st: get|all
Original: parse|remaining|key , predicted 1st: string
Original: get|priority , predicted 1st: get|priority
Original: call , predicted 1st: get|job
Original: run , predicted 1st: get
Original: get|size , predicted 1st: get|size
Original: put , predicted 1st: write
Original: extract|password , predicted 1st: read
Original: compare , predicted 1st: compare
Original: get|local|dirs , predicted 1st: get|dirs
Original: create|app|dir , predicted 1st: create|dir
Original: run , predicted 1st: get|remote|dir
Original: rename|map|output|for|reduce , predicted 1st: create|output|file
Original: set|outcome , predicted 1st: set
Original: get|local|task|dir , predicted 1st: get|task|dir
Original: get|direct|dependant|jobs , predicted 1st: get
Original: set|output|bytes , predicted 1st: set|output|bytes
Original: create|symlink , predicted 1st: create
Original: heartbeat , predicted 1st: get|response
Original: set|exception , predicted 1st: set|exception|exception
Original: get|reduce|resource|usage|metrics , predicted 1st: get
Original: get|and|set|start|time , predicted 1st: get|start|time
Original: set|size , predicted 1st: set|size
Original: service|init , predicted 1st: set|default|config
Original: run , predicted 1st: run
Original: check|dirs , predicted 1st: check|check
Original: get|queue|user|acl|info , predicted 1st: get|user|info
Original: convert|to|proto|format , predicted 1st: get|resource|type
Original: merge|local|to|builder , predicted 1st: set|resources
Original: get|virtual|memory|size , predicted 1st: get|size
Original: get|raw , predicted 1st: get|file|system
Original: need|containers , predicted 1st: get|default
Original: init|resources , predicted 1st: convert|from|format
Original: get|reduce|input|groups , predicted 1st: get|input|groups
Original: get|host|name , predicted 1st: get|host|name
Original: init , predicted 1st: set|max|max|max|size
Original: get|local|fs , predicted 1st: get|local|file
Original: init , predicted 1st: init
Original: recover|container , predicted 1st: set|container
Original: get|resource , predicted 1st: get|resource
Original: get|index , predicted 1st: get|hash|hash|code
Original: set|failed|mapper|fraction , predicted 1st: set|failed|failed
Original: main , predicted 1st: main
Original: get|directory|manager , predicted 1st: get|local|directory|manager
Original: close , predicted 1st: close
Original: complete|reduce , predicted 1st: set|completed|tasks
Original: convert|from|proto|format , predicted 1st: create
Original: start|monitor , predicted 1st: start
Original: fill|buffer , predicted 1st: read
Original: get|system|dir , predicted 1st: get|path
Original: stop|app , predicted 1st: test|log
Original: do|archive , predicted 1st: copy
Original: poll|n , predicted 1st: remove
Original: read|custom|line , predicted 1st: write|to|bytes
Original: skip|utf|byte|order|mark , predicted 1st: read|size
Original: set|size , predicted 1st: set|size
Original: get|resource , predicted 1st: get|url
Original: renew|lease , predicted 1st: add
Original: compare|cd|fs , predicted 1st: test
Original: change|lease , predicted 1st: replace|paths
Original: is|expired , predicted 1st: is|equal
Original: assign|to|user , predicted 1st: is|enabled
Original: read|line , predicted 1st: read
Original: retrieve|password , predicted 1st: get|password
Original: set|timestamp , predicted 1st: set|timestamp
Original: add|next|value , predicted 1st: set|max
Original: compare|logged|task|attempts , predicted 1st: 
Original: check|counters , predicted 1st: set|max|max|size
Original: set|other|tasks , predicted 1st: set|tasks
Original: set|computons|per|map|output|byte , predicted 1st: set|output|output|per
Original: get|url , predicted 1st: get|url
Original: get|maximum|active|applications|per|user , predicted 1st: get|max|user|max|max|max
Original: get|index , predicted 1st: get|key
Original: get|num|aggregators , predicted 1st: get|log|log|log
Original: get|remote|app|log|dir , predicted 1st: get|remote|log|log|dir
Original: release , predicted 1st: set|container|container
Original: contains|all , predicted 1st: is
Original: remove|all , predicted 1st: remove
Original: update|map , predicted 1st: set|up
Original: print|help|message , predicted 1st: print|help
Original: compare , predicted 1st: add|tree
Original: set|status , predicted 1st: convert|to|format
Original: decrement|running|and|check|completion , predicted 1st: run
Original: compute|capacity , predicted 1st: get|maximum|capacity
Original: get|user|limit|factor , predicted 1st: get|user|limit
Original: get|job|map|mb , predicted 1st: get|mb|flags|map
Original: to|json , predicted 1st: write
Original: get|map|output|bytes , predicted 1st: get|output|bytes
Original: deep|compare , predicted 1st: compare
Original: get|report , predicted 1st: get|max|string
Original: stop|container , predicted 1st: start|start|container
Original: compare , predicted 1st: add|path
Original: get|pattern , predicted 1st: get|pattern
Original: to|json , predicted 1st: to|json
Original: get|groups|max , predicted 1st: get|max|groups
Original: set|resource , predicted 1st: set|resource
Original: poll|all , predicted 1st: get|head
Original: service|stop , predicted 1st: stop
Original: if|exists , predicted 1st: is|exists
Original: recover|resource , predicted 1st: get|resource
Original: compare|to , predicted 1st: compare
Original: run , predicted 1st: get|output|output
Original: launch|container , predicted 1st: get|code
Original: get|progress , predicted 1st: get
Original: peek|next , predicted 1st: get|byte
Original: write , predicted 1st: write|to
Original: get|entity , predicted 1st: get|entity|entity
Original: get|max|applications|per|user , predicted 1st: get|max|max|max|max|max
Original: set|timestamp , predicted 1st: set|timestamp
Original: serialize , predicted 1st: write
Original: read|default|line , predicted 1st: read|to|bytes
Original: set|url , predicted 1st: set|url
Original: do|copy , predicted 1st: remove
Original: get|layers , predicted 1st: get
Original: create|key , predicted 1st: get|long|long
Original: incorporate|counters , predicted 1st: set|input
Original: set , predicted 1st: set|bytes
Original: set , predicted 1st: set|bytes
Original: set , predicted 1st: set|bytes
Original: set , predicted 1st: set|bytes
Original: set , predicted 1st: set|input|bytes
Original: set , predicted 1st: set|input|input
Original: set , predicted 1st: set|bytes
Original: set , predicted 1st: set|output|map
Original: set , predicted 1st: set|input
Original: set , predicted 1st: set|input|groups
Original: set , predicted 1st: set|input
Original: set , predicted 1st: set|bytes
Original: set , predicted 1st: set|output|records
Original: set , predicted 1st: set
Original: set , predicted 1st: set|usage
Original: set , predicted 1st: set|usage
Original: set , predicted 1st: set|memory
Original: set , predicted 1st: set|entry
Original: ignores|throwable , predicted 1st: is|show
Original: get|attempts , predicted 1st: get
Original: get|block|token , predicted 1st: get|token|token
Original: remove , predicted 1st: remove
Original: set|input|records , predicted 1st: set|input|input
Original: convert|to|proto|format , predicted 1st: get
Original: update|log|j|configuration , predicted 1st: load|properties
Original: create|identifier , predicted 1st: get|token|key
Original: set|rankings , predicted 1st: set
Original: set|map|output|bytes , predicted 1st: set|output|bytes
Original: assign|to|queue , predicted 1st: add|resource|resource
Original: set|hdfs|bytes|written , predicted 1st: set|bytes
Original: get|cpu|frequency , predicted 1st: get|frequency
Original: get|cpu|usages , predicted 1st: get|usages
Original: get|user , predicted 1st: get|user|user
Original: run , predicted 1st: main
Original: get|timestamp , predicted 1st: get|timestamp
Original: get|reduce|output|records , predicted 1st: get|std|records
Original: set|corrupt , predicted 1st: set
Original: get|application , predicted 1st: get|application|id
Original: get , predicted 1st: get
Original: compute|capacity , predicted 1st: get
Original: read|fields , predicted 1st: read
Original: compare|strings , predicted 1st: add|path
Original: write , predicted 1st: write|to
Original: set|localizer|id , predicted 1st: set|id
Original: is|container|process|alive , predicted 1st: is
Original: delete|as|user , predicted 1st: get
Original: set|map|output|records , predicted 1st: set|output|output|map
Original: get|local|path|for|write , predicted 1st: get|local|path|for|local
Original: add|resources|to|proto , predicted 1st: get|resource
Original: iterator , predicted 1st: get|status
Original: has|next , predicted 1st: has|next
Original: next , predicted 1st: next
Original: remove , predicted 1st: remove
Original: poll|n , predicted 1st: get|current|index
Original: get|queue|admins , predicted 1st: get|control|control
Original: deep|compare , predicted 1st: compare
Original: get|content|type , predicted 1st: get|json|type
Original: stored|per|attempt|value , predicted 1st: get|task|id
Original: get|children , predicted 1st: get|children
Original: set|resource , predicted 1st: set|resource
Original: set|successful|reduce|attempt|cdf , predicted 1st: set
Original: get|timestamp , predicted 1st: get|timestamp
Original: assign|off|switch|containers , predicted 1st: get|child
Original: add|elem , predicted 1st: get
Original: merge|local|to|builder , predicted 1st: set|local|path
Original: build|splits , predicted 1st: get|input
Original: convert|to|proto|format , predicted 1st: convert|to|convert
Original: completed|container , predicted 1st: get|container|container
Original: run , predicted 1st: build
Original: set|computons|per|map|input|byte , predicted 1st: set|input|input|input|input
Original: get|bookmark , predicted 1st: get
Original: symlink , predicted 1st: add|link
Original: get|directory , predicted 1st: get|directory
Original: add|application|attempt , predicted 1st: add|application
Original: get|user , predicted 1st: get|user
Original: get|job|name , predicted 1st: get|job|job|name
Original: assign|containers|on|node , predicted 1st: create
Original: get|dir|context , predicted 1st: get
Original: maybe|init|builder , predicted 1st: set
Original: get|computons|per|map|output|byte , predicted 1st: get|output|output|per|buffer
Original: reduce , predicted 1st: collect|long
Original: get|local|size , predicted 1st: get|local|size
Original: estimated|runtime , predicted 1st: get|id
Original: remove|elem , predicted 1st: get
Original: add|client , predicted 1st: add
Original: get|maximum , predicted 1st: get|maximum
Original: set|submit|time , predicted 1st: set|trigger|time
Original: get|credentials , predicted 1st: get|credentials
Original: get|protocol|version , predicted 1st: get|protocol|version
Original: get|attempt|id , predicted 1st: get|id
Original: main , predicted 1st: main
Original: get|timestamp , predicted 1st: get|timestamp
Original: set|cluster|map|mb , predicted 1st: set|mb|cluster|service
Original: get|ref|count , predicted 1st: size
Original: get|num|applications , predicted 1st: get|total
Original: set , predicted 1st: set|d
Original: located|block|count , predicted 1st: get|size
Original: set|block|token , predicted 1st: set|token|token
Original: get|last|located|block , predicted 1st: get|last|block
Original: create|entity|marker|key , predicted 1st: add
Original: set|maximum , predicted 1st: set|maximum
Original: retain|all , predicted 1st: is|not|not|not|not|not
Original: get|job|properties , predicted 1st: get|job|properties
Original: append , predicted 1st: on|logging
Original: get|start|time , predicted 1st: get|long|time
Original: check|version , predicted 1st: do|get|version
Original: get|queue , predicted 1st: get|queue|info
Original: get|location , predicted 1st: get|location
Original: set|wait|for|ratio , predicted 1st: set|wait|for
Original: gen|factory|method , predicted 1st: add
Original: map|cdf|array|list , predicted 1st: get
Original: set|failover|configurations , predicted 1st: set
Original: set|failover|configurations , predicted 1st: set
Original: table , predicted 1st: set|selector
Original: tabindex , predicted 1st: add|value
Original: needs|quoting , predicted 1st: is
Original: create|upload|redirection|url , predicted 1st: build
Original: discard|old|entities , predicted 1st: test
Original: maybe|init|builder , predicted 1st: set
Original: start , predicted 1st: web|web|web|web|web|web
Original: get|task|attempt|report , predicted 1st: get|report|report
Original: uses|shared|edits|dir , predicted 1st: is|shared|shared|dir
Original: get|job|task|attempt|id|counters , predicted 1st: get|task|task|task
Original: ondblclick , predicted 1st: add|value
Original: flush , predicted 1st: run
Original: get|reduce|records , predicted 1st: get|output|records
Original: textarea , predicted 1st: get
Original: main , predicted 1st: do|help
Original: add|local|queue|user|acl|infos|to|proto , predicted 1st: get|user|queue
Original: iterator , predicted 1st: get|user|queue
Original: has|next , predicted 1st: has|next
Original: next , predicted 1st: next
Original: remove , predicted 1st: remove
Original: a , predicted 1st: selector
Original: transition|to|standby , predicted 1st: convert|to|response
Original: new|instance , predicted 1st: new|response
Original: disabled , predicted 1st: add
Original: maybe|mate|job|and|conf , predicted 1st: reset
Original: refresh|log|retention|settings , predicted 1st: get|log|log|log|log|log
Original: print|generic|command|usage , predicted 1st: print
Original: set|script|src , predicted 1st: fun
Original: get|file|system|access , predicted 1st: get|system|system
Original: remove|token , predicted 1st: delete|token
Original: remove|acl|entries , predicted 1st: remove|entries
Original: maybe|init|builder , predicted 1st: init|completion|completion
Original: merge|local|to|builder , predicted 1st: set|completion|completion|completion
Original: set|application|tags , predicted 1st: set|tags
Original: write|random , predicted 1st: write
Original: ismap , predicted 1st: add
Original: contains , predicted 1st: contains|key
Original: next|rand , predicted 1st: get|long
Original: em , predicted 1st: get
Original: object , predicted 1st: set|selector
Original: open|listeners , predicted 1st: get|port
Original: gen|new|element|method , predicted 1st: get|method|name
Original: strong , predicted 1st: get
Original: get|capacity|remaining|percent , predicted 1st: get|total
Original: get|proto , predicted 1st: get|response
Original: get|proto , predicted 1st: get
Original: convert|from|proto|format , predicted 1st: create|task|task
Original: width , predicted 1st: add|value
Original: add|service|state|callback , predicted 1st: add|state|state
Original: id , predicted 1st: add|value
Original: set|conf , predicted 1st: set|jar|jar
Original: was|inline , predicted 1st: is|inline|inline
Original: add|completion|events|to|proto , predicted 1st: get|completion|completion|completion
Original: iterator , predicted 1st: get|completion|completion
Original: has|next , predicted 1st: has|next
Original: next , predicted 1st: next
Original: remove , predicted 1st: remove
Original: print|all|task|attempts , predicted 1st: generate|task
Original: get|wait|for|ratio , predicted 1st: get|wait|for|wait|for
Original: title , predicted 1st: add|value
Original: stop|decommission , predicted 1st: add|node
Original: canonical|history|log|path , predicted 1st: create
Original: get|test|file|system , predicted 1st: get|system|file
Original: refresh|super|user|groups|configuration , predicted 1st: get|user|groups
Original: area , predicted 1st: set|selector
Original: set|up|users , predicted 1st: set|up
Original: remove|directory|from|serial|number|index , predicted 1st: remove
Original: small , predicted 1st: set|selector
Original: kbd , predicted 1st: 
Original: create|history|dirs , predicted 1st: check
Original: set|conf , predicted 1st: set|rpc|timeout
Original: get|enum|values , predicted 1st: to|string
Original: get|application|attempt|report , predicted 1st: get|report
Original: set|task|attempt|report , predicted 1st: set|report|report
Original: add|sub|graph , predicted 1st: set|parent
Original: is|parent|of , predicted 1st: is|relative
Original: list|x|attrs , predicted 1st: list|path
Original: get|default|block|size , predicted 1st: get|default|block|size
Original: init|local|container|statuses , predicted 1st: convert|from|convert|from|convert
Original: get|proto , predicted 1st: get
Original: ul , predicted 1st: foo
Original: json|parse , predicted 1st: parse
Original: close , predicted 1st: close
Original: type , predicted 1st: add|value
Original: span , predicted 1st: fun
Original: media , predicted 1st: add|value
Original: is|valid|id , predicted 1st: is|valid|id
Original: main , predicted 1st: main
Original: stringify|array , predicted 1st: append|string
Original: get|protocol|address , predicted 1st: get|address
Original: make|qualified , predicted 1st: create|file
Original: get|stats , predicted 1st: get|max|size
Original: p , predicted 1st: foo
Original: id , predicted 1st: add|value
Original: counter|table|init , predicted 1st: get|name
Original: wait|for|nn|to|issue|deletions , predicted 1st: get|expected|count
Original: get , predicted 1st: is
Original: get|job|seq|id , predicted 1st: get|job|job
Original: is|submitted , predicted 1st: is
Original: get|proto , predicted 1st: get|nodes
Original: to|file|status , predicted 1st: get|status|file
Original: nest|level , predicted 1st: get|level|level
Original: convert|to|proto|format , predicted 1st: get|task|task
Original: get , predicted 1st: get|instance
Original: id , predicted 1st: add|value
Original: refresh|admin|acls , predicted 1st: get
Original: small , predicted 1st: set|selector
Original: ismap , predicted 1st: add
Original: store|token|master|key , predicted 1st: create|file
Original: set|application|list , predicted 1st: set|application
Original: cite , predicted 1st: get
Original: parse|general|options , predicted 1st: print
Original: generate|graph|viz , predicted 1st: get
Original: unpack , predicted 1st: get|response
Original: create , predicted 1st: get|input
Original: class , predicted 1st: add
Original: initialize|metadata|cache , predicted 1st: set|cache|cache
Original: id , predicted 1st: add|value
Original: get|configuration , predicted 1st: get
Original: service|stop , predicted 1st: stop
Original: accesskey , predicted 1st: add|value
Original: get|expired|heartbeats , predicted 1st: get
Original: get|capacity|used|percent , predicted 1st: get|weight
Original: parse|entry , predicted 1st: get|address
Original: get|protocol|address , predicted 1st: get|endpoint|address
Original: append , predicted 1st: get|output|stream|stream
Original: fix|block|locations , predicted 1st: get|location
Original: load|state , predicted 1st: get|state|state
Original: get|task|type , predicted 1st: convert|type
Original: convert|to|proto|format , predicted 1st: get|resource
Original: height , predicted 1st: add|value
Original: get|instance , predicted 1st: get|instance
Original: modify|cache|pool , predicted 1st: cache|cache|pool
Original: get|file|status , predicted 1st: get|file|status
Original: base , predicted 1st: new
Original: for , predicted 1st: add
Original: get|dmax , predicted 1st: get|name
Original: enter|state , predicted 1st: set|state
Original: append , predicted 1st: get|input|stream|stream
Original: get|file|checksum , predicted 1st: get|file
Original: puts , predicted 1st: main
Original: name , predicted 1st: add|value
Original: body , predicted 1st: create
Original: init|local|container|list , predicted 1st: convert|from|format
Original: type , predicted 1st: add|input|type
Original: get|type , predicted 1st: get|type
Original: type , predicted 1st: add|type
Original: create|file|system , predicted 1st: get|system|file
Original: class , predicted 1st: add
Original: onmousemove , predicted 1st: add|value
Original: set|reduce|output|records , predicted 1st: set|out|out
Original: get|proto , predicted 1st: get
Original: assert|matches , predicted 1st: assert
Original: get|name|node|ha|state , predicted 1st: get|status
Original: get|rolling|update|status , predicted 1st: get|status
Original: get|web|apps|path , predicted 1st: get|url
Original: cite , predicted 1st: 
Original: get|full|path , predicted 1st: get|path
Original: get|reduce|resource|usage|metrics , predicted 1st: get
Original: delete , predicted 1st: get|connection
Original: get|container|id , predicted 1st: convert|container|container
Original: alt , predicted 1st: add
Original: concat , predicted 1st: add|url
Original: refresh|job|retention|settings , predicted 1st: refresh|settings
Original: get|scope , predicted 1st: get|scope
Original: p , predicted 1st: set|selector
Original: output|records , predicted 1st: generate
Original: get|include|applications , predicted 1st: get|include
Original: modify|acl|entries , predicted 1st: transform|entries
Original: get|current|user|resolver , predicted 1st: get|user|resolver
Original: maybe|init|builder , predicted 1st: set
Original: em , predicted 1st: fun
Original: restart , predicted 1st: set|up
Original: to|array , predicted 1st: get
Original: get|commands , predicted 1st: get
Original: start|storage , predicted 1st: reset|state
Original: setup|queue|configs , predicted 1st: set|max|max|max|max
Original: append , predicted 1st: get|output|stream|stream
Original: merge|local|to|builder , predicted 1st: set|up
Original: get|completion|event|count , predicted 1st: get|completion|completion
Original: enter , predicted 1st: set|long
Original: read|fields , predicted 1st: read|from
Original: id , predicted 1st: add|value
Original: wait|for|standby|to|catch|up , predicted 1st: get
Original: new|instance , predicted 1st: get|request
Original: add|datanode , predicted 1st: set
Original: clean , predicted 1st: remove|files
Original: id , predicted 1st: add|value
Original: assert|glob|equals , predicted 1st: assert
Original: add|failover|cli|opts , predicted 1st: add
Original: onfocus , predicted 1st: add
Original: strong , predicted 1st: get
Original: set|submitted , predicted 1st: set
Original: get|proto , predicted 1st: get
Original: get|home|directory , predicted 1st: get|home|dir
Original: get|health|state , predicted 1st: get|state
Original: width , predicted 1st: add
Original: append|prefix , predicted 1st: visit|record
Original: get|proxy , predicted 1st: create|client|client
Original: i , predicted 1st: set|selector
Original: get|reduce|bytes , predicted 1st: get|output|bytes
Original: glob , predicted 1st: get
Original: onmousedown , predicted 1st: add
Original: size , predicted 1st: size
Original: counter , predicted 1st: set
Original: try|connect , predicted 1st: load|state
Original: get|modification|time , predicted 1st: get|time|time
Original: get|full|name , predicted 1st: get|full|name
Original: list|status , predicted 1st: get|file|files
Original: rel , predicted 1st: add
Original: init|completion|events , predicted 1st: init|completion|completion|completion
Original: strong , predicted 1st: fun
Original: onmouseover , predicted 1st: add|value
Original: tabindex , predicted 1st: add|value
Original: can|emulate|compression , predicted 1st: is|show
Original: id , predicted 1st: add|value
Original: get|x|attr , predicted 1st: get|connection
Original: get , predicted 1st: get
Original: del , predicted 1st: get
Original: change|permission , predicted 1st: set|owner
Original: is|included , predicted 1st: is|empty
Original: id , predicted 1st: add|value
Original: is|alive , predicted 1st: is|started
Original: incorporate|counter , predicted 1st: set|counter|name
Original: write|top|level|dirs , predicted 1st: get|all
Original: check|requestor|or|send|error , predicted 1st: is|valid
Original: get|reduce|input|records , predicted 1st: get|in
Original: archive , predicted 1st: get|input|files
Original: id , predicted 1st: add|value
Original: h , predicted 1st: set|selector
Original: add|multi|exception , predicted 1st: add|exception
Original: get|number|of|paths , predicted 1st: get|number|of|number
Original: transition|to|standby , predicted 1st: get
Original: class , predicted 1st: add
Original: get|proto , predicted 1st: get
Original: code , predicted 1st: set|selector
Original: optgroup , predicted 1st: 
Original: selected , predicted 1st: get|selected
Original: get|full|line , predicted 1st: get|line|line
Original: p , predicted 1st: foo
Original: combine|edges , predicted 1st: get
Original: get|connector|address , predicted 1st: get|address
Original: maybe|init|builder , predicted 1st: init
Original: class , predicted 1st: add
Original: block , predicted 1st: get|block|block
Original: maybe|init|builder , predicted 1st: set
Original: to|response , predicted 1st: handle|error
Original: map , predicted 1st: get|map
Original: get|job|conf , predicted 1st: get|info
Original: onfocus , predicted 1st: add
Original: get|file|block|locations , predicted 1st: get|subsystem|block
Original: publish|plain|data|statistics , predicted 1st: get|data
Original: set|was|inline , predicted 1st: set|inline
Original: h , predicted 1st: fun
Original: kbd , predicted 1st: 
Original: join , predicted 1st: test
Original: get|working|directory , predicted 1st: get|path
Original: onreset , predicted 1st: add|value
Original: check|storage|info|or|send|error , predicted 1st: is
Original: tabindex , predicted 1st: add|value
Original: get|permission , predicted 1st: get|permission
Original: maybe|init|builder , predicted 1st: set|get|job|request
Original: log , predicted 1st: handle|failure
Original: down|heap , predicted 1st: foo
Original: create|url , predicted 1st: create|url
Original: merge|local|to|builder , predicted 1st: set|default|resource
Original: disabled , predicted 1st: add
Original: has|access , predicted 1st: check|access
Original: fs|execute , predicted 1st: get|system|system|file|system
Original: get|name|node|id|of|other|node , predicted 1st: get|config|name
Original: add|callback , predicted 1st: add
Original: method , predicted 1st: add|value
Original: id , predicted 1st: add|value
Original: read|file|to|set|with|file|input|stream , predicted 1st: read
Original: kbd , predicted 1st: fun
Original: scan|intermediate|directory , predicted 1st: move|file
Original: run , predicted 1st: run
Original: id , predicted 1st: add|value
Original: dl , predicted 1st: get|dl
Original: new|sub|graph , predicted 1st: get
Original: write|reverse|ordered|long , predicted 1st: get|byte
Original: onchange , predicted 1st: add|value
Original: pre , predicted 1st: set|selector
Original: class , predicted 1st: add
Original: set|allow|standby|reads , predicted 1st: set
Original: new|instance , predicted 1st: new|response
Original: get|proto , predicted 1st: get|response
Original: headers , predicted 1st: add|value
Original: permission|to|string , predicted 1st: get|default
Original: get|file|status , predicted 1st: get|file|status
Original: get|class , predicted 1st: get|class
Original: get|x|attrs , predicted 1st: get
Original: set|task|type , predicted 1st: set|task|type
Original: is|instrumentation|access|allowed , predicted 1st: is|access
Original: get|block|size , predicted 1st: get
Original: get|recursive , predicted 1st: get
Original: shutdown , predicted 1st: tear|down
Original: get|proto , predicted 1st: get|response
Original: class , predicted 1st: add
Original: id , predicted 1st: add|value
Original: get , predicted 1st: get
Original: get|groups|for|user , predicted 1st: get|user|groups
Original: abbr , predicted 1st: get
Original: create|non|recursive , predicted 1st: create|file
Original: clear|task|reports , predicted 1st: clear
Original: pre , predicted 1st: set|selector
Original: has|includes , predicted 1st: is|empty
Original: do|work , predicted 1st: get|line
Original: get|excludes , predicted 1st: get|excludes
Original: gauge , predicted 1st: set
Original: set|reduce|input|records , predicted 1st: set|in
Original: convert|from|proto|format , predicted 1st: create|application
Original: start|storage , predicted 1st: close
Original: refresh|log|retention|settings , predicted 1st: get|refresh
Original: print|counters , predicted 1st: get|group|names
Original: create , predicted 1st: create|stream
Original: onfocus , predicted 1st: add
Original: set|job|queue , predicted 1st: set|job
Original: print|start|tag , predicted 1st: print
Original: basename , predicted 1st: get|path
Original: add|task|report , predicted 1st: configure|task
Original: convert|from|proto|format , predicted 1st: create|task|task
Original: dfn , predicted 1st: fun
Original: quote|output|stream , predicted 1st: create|stream
Original: write , predicted 1st: write|chars
Original: write , predicted 1st: write
Original: flush , predicted 1st: flush
Original: close , predicted 1st: close
Original: refresh|job|retention|settings , predicted 1st: get|job|refresh|settings
Original: get|delegation|token , predicted 1st: get|auth|auth
Original: run , predicted 1st: get|token
Original: finalize|job , predicted 1st: init
Original: read|counted|line , predicted 1st: get|input|line
Original: map , predicted 1st: set|selector
Original: action , predicted 1st: add|value
Original: put , predicted 1st: get|response
Original: add|servlet , predicted 1st: add|servlet
Original: stop|proxy , predicted 1st: stop
Original: add|replication|trigger|thread , predicted 1st: test|all|all
Original: do|an|action , predicted 1st: run
Original: get|initial|working|directory , predicted 1st: get|working|directory
Original: create|job|factory , predicted 1st: create|job|factory
Original: id , predicted 1st: add|value
Original: remove|token , predicted 1st: remove|token|token
Original: process|reduce|attempt|line , predicted 1st: execute
Original: set|filename , predicted 1st: set
Original: get|base|conf , predicted 1st: get|properties
Original: merge|local|to|builder , predicted 1st: set|up
Original: set|include|applications , predicted 1st: set|include
Original: h , predicted 1st: close
Original: print|last , predicted 1st: add|task
Original: print|usage , predicted 1st: print
Original: get|data , predicted 1st: get|data
Original: id , predicted 1st: add|value
Original: onkeypress , predicted 1st: add|value
Original: make|qualified|located , predicted 1st: create|file
Original: init , predicted 1st: set|up|class
Original: del , predicted 1st: get
Original: em , predicted 1st: fun
Original: tabindex , predicted 1st: add|value
Original: samp , predicted 1st: fun
Original: maybe|init|builder , predicted 1st: set
Original: refresh , predicted 1st: get|response
Original: get|proto , predicted 1st: get
Original: samp , predicted 1st: fun
Original: convert|to|proto|format , predicted 1st: get|application
Original: set|threads , predicted 1st: set|max|threads
Original: service|stop , predicted 1st: stop
Original: write|random|text , predicted 1st: write
Original: create|hs|proxy|with|get|user|mappings|protocol , predicted 1st: create|default|protocol
Original: merge|local|to|builder , predicted 1st: set|get|string
Original: set|queue|name , predicted 1st: set|queue|name
Original: create|hard|link|mult , predicted 1st: create|link
Original: colspan , predicted 1st: add|value
Original: main , predicted 1st: run
Original: start|threads , predicted 1st: create
Original: init|local|applications|list , predicted 1st: convert|format
Original: set|includes|file , predicted 1st: set|includes
Original: id , predicted 1st: add|value
Original: get|live|datanode|count , predicted 1st: size
Original: seek|to|new|source , predicted 1st: is|long
Original: refresh , predicted 1st: test|no|files
Original: id , predicted 1st: add|value
Original: init|users , predicted 1st: set|users
Original: id , predicted 1st: add|value
Original: class , predicted 1st: add
Original: id , predicted 1st: add|value
Original: class , predicted 1st: add
Original: get|lib|jars , predicted 1st: get|all|files
Original: new|instance , predicted 1st: get|response|response
Original: to|response , predicted 1st: build|response
Original: monitor|health , predicted 1st: do|dispatch
Original: onfocus , predicted 1st: add
Original: address , predicted 1st: fun
Original: h , predicted 1st: fun
Original: copy|to|local|file , predicted 1st: copy
Original: href , predicted 1st: add|value
Original: create|hard|link , predicted 1st: create|link
Original: get|file|system , predicted 1st: get|system|file
Original: type , predicted 1st: add|value
Original: id , predicted 1st: add|value
Original: print|tasks , predicted 1st: get|task
Original: var , predicted 1st: fun
Original: get|current|block , predicted 1st: get|current|block
Original: set|reduce|resource|usage|metrics , predicted 1st: set|resource|usage
Original: add|default|apps , predicted 1st: add|default
Original: get|proxy , predicted 1st: get|client
Original: get|link|count , predicted 1st: parse
Original: read|file|to|set , predicted 1st: read|file
Original: name , predicted 1st: add|value
Original: get|input|stream , predicted 1st: get|input|stream
Original: get|proxies|for|all|name|nodes|in|nameservice , predicted 1st: get
Original: merge|local|to|builder , predicted 1st: set|report|report
Original: write|reverse|ordered|long , predicted 1st: write|long
Original: print|usage , predicted 1st: test
Original: get|token|bucket|path , predicted 1st: get
Original: get|delay , predicted 1st: convert
Original: set|datagram|socket , predicted 1st: set|datagram|datagram
Original: set|working|directory , predicted 1st: consume
